title,year,conference
 Deepmind lab,2016, arXiv preprintarXiv:1612
 Representation learning: A review and newperspectives,2013, IEEE transactions on pattern analysis and machine intelligence
 A simple framework forcontrastive learning of visual representations,2020, arXiv preprint arXiv:2002
 Big self-supervised models are strong semi-supervised learners,2020, arXiv preprint arXiv:2006
 Invariant object recognition and pose esti-mation with slow feature analysis,2011, Neural computation
 Tempo-ral difference variational auto-encoder,2019, In International Conference on Learning Representations
 beta-vae: Learning basic visual concepts with aconstrained variational framework,2017, In International Conference on Learning Representations
 Auto-encoding variational bayes,2013, arXiv preprintarXiv:1312
 Curl: Contrastive unsupervised representa-tions for reinforcement learning,2020, In Proceedings of the 37th Annual International Conference onMachine Learning (ICML)
 Challenging common assumptions in the unsupervised learningof disentangIedrePreSentations,2019, In international conference on machine learning
 Time-contrastive networks: Self-supervised learning from video,2018, In2018 IEEE International Conference on Robotics and Automation (ICRA)
 Slow feature analysis: Unsupervised learning of invari-ances,2002, Neural computation
 Unsupervised learning of visual invariance with tem-poral coherence,2011, In NIPS 2011 workshop on deep learning and unsupervised feature learning
