title,year,conference
 Evaluating theReliability of Acoustic Speech Embeddings,2020, In Proc
 Keyword search using modified minimum edit distance measure,2007, In2007 IEEE International Conference on Acoustics
 Word embeddings for speech recognition,2014, In Proceedings of the15th Conference of the International Speech Communication Association
 Connectionist Speech Recognition: A Hybrid Approach,0119, 011994
 Query-by-example keyword spotting using long short-termmemory networks,2015, In 2015 IEEE International Conference on Acoustics
 Silhouette analysis for human action recognition basedon supervised temporal t-SNE and incremental learning,2015, IEEE Transactions on Image Processing
 Fast k nearest neighbor search using GPU,2008, In 2008 IEEEComputer Society Conference on Computer Vision and Pattern Recognition Workshops
 Query-by-example spoken term detection using phonetic pos-teriorgram templates,2009, In 2009 IEEE Workshop on Automatic Speech Recognition Understanding
 Multi-view recurrent neural acoustic word embed-dings,2017, In International Conference on Learning Representations (ICLR)
 Stochastic neighbor embedding,2003, In S
 Multilingual Jointly Trained Acoustic and Written WordEmbeddings,2020, In Proc
 Deep convolutional acoustic word embeddings using word-pair side information,2016, In 2016 IEEE International Conference on Acoustics
 Adam: A method for stochastic optimization,2015, In InternationalConference on Learning Representations
 The non-local storage of temporal information,1968, In Proceedingsof the Royal Society of London B
 Word-level acoustic modeling with convolutional vector regression,2012, In ICML 2012 RepresentationLearning Workshop
 The kaldi speech recognition toolkit,2011, In IEEE 2011 Workshop on AutomaticSpeech Recognition and Understanding
 Sampling strategies in siamese networks for unsupervised speech representation learn-ing,2018, In Proc
 FaceNet: A unified embedding for face recognition andclustering,2015, In 2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 Discriminative acoustic word embeddings: recurrent neural network-basedapproaches,2016, In 2016 IEEE Spoken Language Technology Workshop (SLT)
 Query-by-example search with discriminativeneural acoustic word embeddings,2017, In INTERSPEECH 2017
 Whole-word segmental speech recognition with acous-tic word embeddings,2020, In arXiv 2007
