title,year,conference
 Square attack:a query-efficient black-box adversarial attack via random search,2020, In European Conference onComputer Vision
 Obfuscated gradients give a false sense ofsecurity: Circumventing defenses to adversarial examples,2018, In International Conference on MachineLearning
 Unrestricted adversarialexamples via semantic manipulation,2020, In International Conference on Learning Representations
 Decision-based adversarial attacks: Reliableattacks against black-box machine learning models,2018, In International Conference on LearningRepresentations
 Thermometer encoding: One hot wayto resist adversarial examples,2018, In ICLR
 Adversarial examples are not easily detected: Bypassing tendetection methods,2017, In Proceedings of the 10th ACM Workshop on Artificial Intelligence andSecurity
 Towards evaluating the robustness of neural networks,2017, InSecurity and Privacy (SP)
 A statistical defense approach for detectingadversarial examples,2020, In Proceedings of the 2020 International Conference on Pattern Recognitionand Intelligent Systems
 Certified adversarial robustness via randomizedsmoothing,2019, volume 97 of Proceedings of Machine Learning Research
 Provable robustness against all adversarial lp-perturbationsfor p ≥ 1,2020, In International Conference on Learning Representations
 Minimally distorted adversarial examples with a fast adaptiveboundary attack,2020, In International Conference on Machine Learning
 Reliable evaluation of adversarial robustness with an ensembleof diverse parameter-free attacks,2020, In ICML
 Boostingadversarial attacks with momentum,2018, In The IEEE Conference on Computer Vision and PatternRecognition (CVPR)
 Detecting adversarialsamples from artifacts,2017, arXiv preprint arXiv:1703
 When explainability meets adversarial learning: Detectingadversarial examples using shap signatures,2019, arXiv preprint arXiv:1909
 Explaining and harnessing adversarialexamples,2015, In International Conference on Learning Representations
 Countering adversarialimages using input transformations,2018, In International Conference on Learning Representations
 Benchmarking neural network robustness to commoncorruptions and perturbations,2019, In International Conference on Learning Representations
 Natural adversarialexamples,2019, arXiv preprint arXiv:1907
 Testing robustness againstunforeseen adversaries,2019, arXiv preprint arXiv:1908
 Adam: A method for stochastic optimization,2015, In InternationalConference on Learning Representations
 Learning multiple layers of features from tiny images,2012, University of Toronto
 A simple unified framework for detectingout-of-distribution samples and adversarial attacks,2018, In Advances in Neural Information ProcessingSystems
 Characterizing adversarial subspaces using localintrinsic dimensionality,2018, 2018
 Adversarial robustness against the union of multipleperturbation models,2020, In International Conference on Machine Learning
 Deepfool: a simple andaccurate method to fool deep neural networks,2016, In Proceedings of the IEEE conference on computervision and pattern recognition
 Distillation as adefense to adversarial perturbations against deep neural networks,2016, In 2016 IEEE Symposium onSecurity and Privacy (SP)
 Foolbox: A python toolbox to benchmarkthe robustness of machine learning models,2017, In Reliable Machine Learning in the Wild Workshop
 Overfitting in adversarially robust deep learning,2020, arXivpreprint arXiv:2002
 Decoupling direction and norm for efficient gradient-based l2 adversarial attacks anddefenses,2019, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Intriguing properties of neural networks,2013, arXiv preprint arXiv:1312
 Exploring the space of adversarial images,2016, In 2016 International JointConference on Neural Networks (IJCNN)
 Adversarial training and robustness for multiple perturbations,2019, InAdvances in Neural Information Processing Systems
 Ensemble adversarial training: Attacks and defenses,2018, In International Conference onLearning Representations
 On adaptive attacks toadversarial example defenses,2020, arXiv preprint arXiv:2002
 Ro-bustness may be at odds with accuracy,2018, In International Conference on Learning Representations
 Fast is better than free: Revisiting adversarial training,2020, InInternational Conference on Learning Representations
 Adversarial example detection and classificationwith asymmetrical adversarial training,2019, arXiv preprint arXiv:1905
 Wide residual networks,2016, arXiv preprint arXiv:1605
