title,year,conference
 Improving stochastic policy gradients incontinuous control with deep reinforcement learning using the beta distribution,2017, In Internationalconference on machine learning
 Hierarchical relative entropy policy search,2012, InArtificial Intelligence and Statistics
 Discrete and continuous actionrepresentation for practical rl in video games,2019, arXiv preprint arXiv:1912
 An introduction to sequential monte carlomethods,2001, In Sequential Monte Carlo methods in practice
 Addressing function approximation error inactor-critic methods,2018, arXiv preprint arXiv:1802
 Reinforcement learning withdeep energy-based policies,2017, In International Conference on Machine Learning
 Latent space policies forhierarchical reinforcement learning,2018, arXiv preprint arXiv:1804
 Soft actor-critic: Off-policy maximum entropy deep reinforcement learning with a stochastic actor,2018, arXiv preprintarXiv:1801
 Learningto walk via deep reinforcement learning,2018, In Robotics: Science and Systems
 Soft actor-critic algorithms and appli-cations,2018, arXiv preprint arXiv:1812
 PPo-cma: Proximal policyoptimization with covariance matrix adaptation,2018, arXiv preprint arXiv:1810
 On entropy approxima-tion for gaussian mixture random vectors,2008, In 2008 IEEE International Conference on MultisensorFusion and Integration for Intelligent Systems
 Categorical reparameterization with gumbel-softmax,2016, arXivpreprint arXiv:1611
 Categorical reparametrization with gumble-softmax,2017, InInternational Conference on Learning Representations (ICLR 2017)
 Reinforcement learning to run,2018,
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Continuous control with deep reinforcement learning,2015, arXivpreprint arXiv:1509
 Stein variational policy gradient,2017, arXivpreprint arXiv:1704
 The concrete distribution: A continuousrelaxation of discrete random variables,2016, arXiv preprint arXiv:1611
 Leveragingexploration in off-policy algorithms via normalizing flows,2019, arXiv preprint arXiv:1905
 Discrete sequential prediction ofcontinuous actions for deep rl,2017, arXiv preprint arXiv:1705
 Asynchronous methods for deep reinforcementlearning,2016, In International conference on machine learning
 Safe and efficient off-policyreinforcement learning,2016, In Advances in Neural Information Processing Systems
 Combining policygradient and q-learning,2016, arXiv preprint arXiv:1611
 Perturb-and-map random fields: Using discrete optimizationto learn and sample from energy models,2011, In 2011 International Conference on Computer Vision
 Deepmimic: Example-guided deep reinforcement learning of physics-based character skills,2018, ACM Transactions onGraphics (TOG)
 Learn-ing Agile Robotic Locomotion Skills by Imitating Animals,2020, In Proceedings of Robotics: Scienceand Systems
 Learning complex dexterous manipulation with deep reinforcementlearning and demonstrations,2018, In Robotics: Science and Systems
 Exact solutions to the nonlinear dynam-ics of learning in deep linear neural networks,2013, arXiv preprint arXiv:1312
 Trust regionpolicy optimization,2015, In International conference on machine learning
 High-dimensional continuous control using generalized advantage estimation,2015, arXiv preprintarXiv:1506
 Proximal policyoptimization algorithms,2017, arXiv preprint arXiv:1707
 Stable proportional-derivative controllers,2011, IEEE ComputerGraphics and Applications
 Sim-to-real: Learning agile locomotion for quadruped robots,2018, In Robotics:Science and Systems
 Boosting trust region policy optimization by normalizing flowspolicy,2018, arXiv preprint arXiv:1809
 Implicit policy for reinforcement learning,2018, arXiv preprintarXiv:1806
 Policy optimization as wasser-stein gradient flows,2018, arXiv preprint arXiv:1808
 The state-independent components can provide a global configuration ofparticle distributions that can be used as a discretization scheme,2021, In theory
