title,year,conference
 Cormorant: Covariant molecular neural net-works,2019, In H
 Lorentz group equivariant neural network for particle physics,2020, arXiv preprintarXiv:2006
 Lie groups,2004, Springer
 Covariance in physics and convolutional neural networks,2019, arXiv preprintarXiv:1906
 Spherical CNNs,2018, In InternationalConference on Learning Representations
 A general theory of equivariant cnns on ho-mogeneous spaces,2019, In H
 Polar transformernetworks,2018, In International Conference on Learning Representations
 Generalizing convolutionalneural networks for equivariance to lie groups on arbitrary continuous data,2020, arXiv preprintarXiv:2002
 Roteqnet: Rotation-equivariant network for fluidsystems with symmetric high-order tensors,2020, arXiv preprint arXiv:2005
 Symmetries and laplacians,1992, introduction to harmonic analysis
 Qutip 2: A python framework for the dynamicsof open quantum systems,2013, Computer Physics Communications
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 N-body networks: a covariant hierarchical neural network architecture for learningatomic potentials,2018, arXiv preprint arXiv:1803
 Galilei group and galilean invariance,1971, In Group theory and its applications
 Converting static imagedatasets to spiking neuromorphic datasets using saccades,2015, Frontiers in neuroscience
 Learning lie groups for invariant visual perception,1999, InAdvances in neural information processing systems
 Neue begrUndung der theorie der gruppenCharaktere,1905, 1905
 Equivariant transformer networks,2019, arXiv preprintarXiv:1901
 Lie: A package for lie groupcomputations,1992, 1992
 3d steerable cnns:Learning rotationally equivariant features in volumetric data,2018, In Advances in Neural InformationProcessing Systems
 The quantum theory of fields,1995, Vol
 Harmonicnetworks: Deep translation and rotation equivariance,2017, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition
 Motion equivariant networks for event cameraswith the temporal normalization transform,2019, arXiv preprint arXiv:1902
