title,year,conference
 Modular meta-learning,2018, arXiv preprintarXiv:1806
 Neural module networks,2016, InProceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Xgboost: A scalable tree boosting system,2016, In Proceedings of the22nd acm sigkdd international conference on knowledge discovery and data mining
 Meta-learning by the baldwin effect,2018, InProceedings of the Genetic and Evolutionary Computation Conference Companion
 Probabilistic model-agnostic meta-learning,2018, InAdvances in Neural Information Processing Systems
 Greedy function approximation: a gradient boosting machine,2001, Annals ofstatistics
 Deep residual learning for imagerecognition,2016, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Meta-learning in neuralnetworks: A survey,2020, arXiv preprint arXiv:2004
 Batch normalization: Accelerating deep network training byreducing internal covariate shift,2015, arXiv preprint arXiv:1502
 Human-level performance in 3d multiplayer games with population-based reinforcement learning,2019, Science
 Auto-encoding variational bayes,2014, stat
 One shot learning ofsimple visual concepts,2011, In Proceedings of the annual meeting of the cognitive science society
 Gradient-based meta-learning with learned layerwise metric andsubspace,2018, In International Conference on Machine Learning
 Meta-sgd: Learning to learn quickly for few-shotlearning,2017, arXiv preprint arXiv:1707
 Rectifier nonlinearities improve neural networkacoustic models,2013, In in ICML Workshop on Deep Learning for Audio
 A simple neural attentive meta-learner,2018, In International Conference on Learning Representations
 Reptile: a scalable metalearning algorithm,2018, arXiv preprintarXiv:1803
 Modern neural networks generalize on smalldata sets,2018, In Advances in Neural Information Processing Systems
 Few-shot image recognition by predictingparameters from activations,2018, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 Optimization as a model for few-shot learning,2016, 2016
 Meta-learning with latent embedding optimization,2019, ICLR
 Augboost: gradient boosting enhanced with step-wise featureaugmentation,2019, In Proceedings of the 28th International Joint Conference on Artificial Intelligence
 Residual networks behave like ensembles ofrelatively shallow networks,2016, In Advances in neural information processing systems
 A perspective view and survey of meta-learning,2002, Artificialintelligence review
 Matching networks for oneshot learning,2016, In Advances in neural information processing systems
 Generalizing from a few examples:A survey on few-shot learning,2020, ACM Computing Surveys (CSUR)
 Fine-grained visual categorization using meta-learning opti-mization with sample selection of auxiliary data,2018, In Proceedings of the european conference oncomputer vision (ECCV)
 A survey on multi-task learning,2017, arXiv preprint arXiv:1707
 Similar to Finn et al,2013, (2017)
