title,year,conference
 Learning activation functionsto improve deep neural networks,2014, arXiv preprint arXiv:1412
 Making a science of model search: Hyperparameteroptimization in hundreds of dimensions for vision architectures,2013, In International conference onmachine learning
 Dota 2 with large scaledeep reinforcement learning,2019, arXiv preprint arXiv:1912
 Net2net: Accelerating learning via knoWledgetransfer,2015, arXiv preprint arXiv:1511
 Bayesian optimization in alphago,2018, arXiv preprint arXiv:1812
 Nas-bench-201: Extending the scope of reproducible neural architecturesearch,2019, In International Conference on Learning Representations
 Surrogate benchmarks for hyperparameteroptimization,2014, In ECAI workshop on Metalearning and Algorithm Selection (MetaSel’14)
 BOHB: Robust and efficient hyperparameter op-timization at scale,2018, In Proceedings of the 35th International Conference on Machine Learning(ICML 2018)
 Scalable meta-learning for bayesian optimiza-tion,2018, arXiv preprint arXiv:1802
 Programming by optimization,2012, Communications of the ACM
 Densely connectedconvolutional netWorks,2017, In Proceedings of the IEEE conference on computer vision and patternrecognition
 An efficient approach for assessing hyperparameterimportance,2014, In E
 Most likely het-eroscedastic gaussian process regression,2007, In Proceedings of the 24th international conference onMachine learning
 Tabular benchmarks for joint architecture and hyperparameteroptimization,2019, arXiv preprint arXiv:1905
 Hyperband: Bandit-basedconfiguration evaluation for hyperparameter optimization,2017, In OpenReview
 A metric learning reality check,2020, arXiv preprintarXiv:2003
 Scalable hyperpa-rameter transfer learning,2018, In Advances in Neural Information Processing Systems
 Gaussian Processes for Machine Learning,2006, The MIT Press
 Green ai,2019, arXiv preprintarXiv:1907
 Taking the human out of the loop:A review of Bayesian optimization,2016, Proceedings of the IEEE
 Regret Bounds for Transfer Learningin Bayesian Optimisation,2017, In Aarti Singh and Jerry Zhu (eds
 Practical Bayesian optimization of machine learningalgorithms,2012, In P
 Energy and policy considerations for deeplearning in NLP,2019, In Proceedings of the 57th Annual Meeting of the Association for ComputationalLinguistics
 Multi-task bayesian optimization,2013, In Advances inneural information processing systems
 Meta-learning: A survey,2018, arXiv preprint arXiv:1810
 Regret bounds for meta bayesian optimizationwith an unknown gaussian process prior,2018, In S
 A case for guided machine learning,2019, InAndreas Holzinger
 Scalable gaussian process-basedtransfer surrogates for hyperparameter optimization,2018, Machine Learning
 Group normalization,2018, In Proceedings of the European conference oncomputer vision (ECCV)
 A comprehensive survey on transfer learning,2019, arXiv preprint arXiv:1911
