title,year,conference
 Pitfalls of in-domainuncertainty estimation and ensembling in deep learning,2020, In ICLR
 Pattern Recognition and Machine Learning,2006, Springer
 Weight uncertainty inneural network,2015, In ICML
 Verification of forecasts expressed in terms of probability,1950, Monthly Weather Review
 Deepdriving: Learning affordance fordirect perception in autonomous driving,2015, In ICCV
 Dropout as a bayesian approximation: Representing modeluncertainty in deep learning,2016, In ICML
 Concrete dropout,2017, In NeurIPS
 On calibration of modern neuralnetworks,2017, In ICML
 Deep residual learning for imagerecognition,2016, In CVPR
 Categorical Reparameterization with Gumbel-Softmax,2017, InICLR
 Adam: A method for stochastic optimization,2015, In ICLR
 Auto-encoding variational bayes,2014, In ICLR
 Variational dropout and the local reparameterizationtrick,2015, In NeurIPS
 Trainable calibration measures for neural networksfrom kernel mean embeddings,2018, In ICML
 Simple and scalable predictiveuncertainty estimation using deep ensembles,2017, In NeurIPS
 Multiplicative normalizing flows for variational bayesian neuralnetworks,2017, In ICML
 The concrete distribution: A continuousrelaxation of discrete random variables,2016, In Bayesian Deep Learning Workshop
 Asimple baseline for bayesian uncertainty in deep learning,2019, In NeurIPS
 Obtaining Well CalibratedProbabilities Using Bayesian Binning,2015, In AAAI
 Measuringcalibration in deep learning,2019, In CVPR Workshops
 Regular-izing neural networks by penalizing confident output distributions,2017, In ICLR Workshop
 Evaluating model calibration in classification,2019, In AISTATS
 Fast dropout training,2013, In ICML
