title,year,conference
 Neural module networks,2016, In 2016IEEE Conference on Computer Vision and Pattern Recognition
 Neuralsymbolic reader: Scalable integration of distributed and symbolic representations for readingcomprehension,2020, In 8th International Conference on Learning Representations
 Injecting numerical reasoning skills into languagemodels,2020, In ACL
 Neural module networksfor reasoning over text,2020, In International Conference on Learning Representations
 Long short-term memory,1997, NeUral computation
 Learning tosolve arithmetic word problems with verb categorization,2014, In Proceedings of the 2014 Conferenceon Empirical Methods in Natural Language Processing (EMNLP)
 A multi-type multi-span network forreading comprehension that requires discrete reasoning,2019, In Proceedings of EMNLP
 A window-based self-attention approach forsentence encoding,2020, Neurocomputing
 Nabert+: Improving numerical reasoning in reading comprehen-sion,2019, 2019
 MAWPS:A math word problem repository,2016, In Proceedings of the 2016 Conference of the North AmericanChapter of the Association for Computational Linguistics: Human Language Technologies
 Memory augmentedpolicy optimization for program synthesis and semantic parsing,2018, In S
 Learning anatural language interface with neural programmer,2017, In 5th International Conference on LearningRepresentations
 Solving general arithmetic word problems,2015, In Proceedings of the2015 Conference on Empirical Methods in Natural Language Processing
 Complex program induction for querying knowledge bases in the absence of goldprograms,2019, Transactions of the Association for Computational Linguistics
 A simple neural network module for relational reason-ing,2017, In Isabelle Guyon
 Trust region policyoptimization,2015, volume 37 of Proceedings of Machine Learning Research
 Obtaining Faithful Interpretations from Compositional Neural Networks,2020, InAssociation for Computational Linguistics (ACL)
 Attention is all you need,2017, In I
 Simple statistical gradient-following algorithms for connectionist reinforcementlearning,1992, Machine Learning
 Fast and accuratereading comprehension by combining self-attention and convolution,2018, In International Conferenceon Learning Representations
