title,year,conference
 Dota 2 with largescale deep reinforcement learning,2019, arXiv:1912
 One shot detection With laplacian object and fast matrixcosine similarity,2015, TPAMI
 Language models arefeW-shot learners,2020, arXiv:2005
 End-to-end object detection With transformers,2020, arXiv:2005
 LSTD: A LoW-Shot Transfer Detector forObject Detection,2018, AAAI
 MMDetection: Open mmlab detection toolbox andbenchmark,2019, arXiv:1906
 A closerlook at feW-shot classification,2019, ICLR
 A baseline forfeW-shot image classification,2019, arXiv:1909
 FeW-Example Object DetectionWith Model Communication,2018, TPAMI
 FeW-shot object detection With attention-rpnand multi-relation detector,2020, In CVPR
 Model-Agnostic Meta-Learning for Fast Adapta-tion of Deep NetWorks,2017, In ICML
 Rich Feature Hierarchies forAccurate Object Detection and Semantic Segmentation,2014, In CVPR
 LVIS: A dataset for large vocabulary instance seg-mentation,2019, In CVPR
 The unreasonable effectiveness of data,2009, IntelligentSystems
 Deep residual learning for image recog-nition,2016, In CVPR
 Mask R-CNN,2017, In ICCV
 One-shot object detection Withco-attention and co-excitation,2019, In NeurIPS
 Deepco3 : Deep instance co-segmentation byco-peak search and co-saliency detection,2019, In CVPR
 Siamese Neural Networks for One-shotImage Recognition,2015, ICML
 Imagenet classification with deep convo-lutional neural networks,2012, In NeurIPS
 One-shot object detectionwithout fine-tuning,2020, arXiv:2005
 Microsoft COCO: Common Objects in Context,2014, In ECCV
 Focal loss for dense objectdetection,2017, In ICCV
 One-Shot in-stance segmentation,2018, arXiv:1811
 The mapillary vistasdataset for semantic understanding of street scenes,2017, In International Conference on ComputerVision (ICCV)
 Os2d: One-stage one-shot object detection bymatching anchor features,2020, arXiv:2003
 Faster r-cnn: ToWards real-time objectdetection With region proposal netWorks,2015, In NIPS
 Cosegmentation of imagepairs by histogram matching-incorporating a global constraint into mrfs,2006, In CVPR
 Meta-learning with latent embedding optimization,2018, arXiv:1807
 RepMet:Representative-based metric learning for classification and one-shot object detection,2019, In CVPR
 One-Shot Learning forSemantic Segmentation,2017, BMVC
 Prototypical Networks for Few-shot Learning,2017, InNIPS
 Revisiting unreasonable ef-fectiveness of data in deep learning era,2017, In ICCV
 Meta-transfer learning for few-shotlearning,2019, In CVPR
 The bitter lesson,2019, Incomplete Ideas (blog)
 Particular object retrieval with integral max-poolingof CNN activations,2016, ICLR
 One-shot TextureSegmentation,2018, arXiv:1807
 Matchingnetworks for one shot learning,2016, In NIPS
 Frustratinglysimple few-shot object detection,2020, arXiv:2003
 Meta-learning to detect rare objects,2019, In ICCV
 Meta-rcnn: Meta learning for few-shot objectdetection,2019, 2019a
 Aggregated residual trans-formations for deep neural networks,2017, In CVPR
 Meta r-cnn:Towards general solver for instance-level low-shot learning,2019, In ICCV
 Comparisonnetwork for one-shot conditional object detection,2019, arXiv:1904
 Sceneparsing through ade20k dataset,2017, In CVPR
