title,year,conference
 When is multitask learning effective? semantic se-quence prediction under varying data conditions,2016, arXiv preprint arXiv:1612
 Machinelearning on graphs: A model and comprehensive taxonomy,2020, arXiv preprint arXiv:2005
 Semi-supervised classification by low density separation,2005, InAISTATS
 Latentpatient network learning for automatic diagnosis,2020, arXiv preprint arXiv:2003
 Adversarial attack ongraph structured data,2018, arXiv preprint arXiv:1806
 Bert: Pre-training of deepbidirectional transformers for language understanding,2018, arXiv preprint arXiv:1810
 Learning discrete structuresfor graph neural networks,2019, In ICML
 Few-shot learning with graph neural networks,2017, arXiv preprintarXiv:1711
 Open graph benchmark: Datasets for machine learning on graphs,2020, arXivpreprint arXiv:2005
 Strategies for pre-training graph neural networks,2020, In ICLR
 Reinforcement learning with unsupervised auxiliary tasks,2016, arXivpreprint arXiv:1611
 Brain signal classification via learning con-nectivity structure,2019, arXiv preprint arXiv:1905
 Graph structurelearning for robust graph neural networks,2020, arXiv preprint arXiv:2005
 Learning graph structure with a finite-stateautomaton layer,2020, arXiv preprint arXiv:2007
 Representation learning for dynamic graphs: A survey,2020, JMLR
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Semi-supervised classification with graph convolutional net-works,2017, In ICLR
 Deeper insights into graph convolutional networks forsemi-supervised learning,2018, In AAAI
 Adaptive graph convolutional neuralnetworks,2018, arXiv preprint arXiv:1801
 Auxiliary tasks in multi-task learning,2018, arXiv preprintarXiv:1805
 Graph normalizing flows,2019, InNeurIPS
 Roberta: A robustly optimized bert pretrainingapproach,2019, arXiv preprint arXiv:1907
 Nonlinear dimensionality reduction by locally linear embed-ding,2000, science
 Acyclic orientations of graphs,1973, Discrete Mathematics
 Graph agreement models for semi-supervised learning,2019, In Advancesin Neural Information Processing Systems
 Mixture-kernel graph attention network for situation recogni-tion,2019, In Proceedings of the IEEE International Conference on Computer Vision
 A global geometric framework fornonlinear dimensionality reduction,2000, science
 Graph attention networks,2018, In ICLR
 Extracting andcomposing robust features with denoising autoencoders,2008, In Proceedings of the 25th internationalconference on Machine learning
 Deep graph library: Towards efficient and scalable deep learningon graphs,2019, arXiv preprint arXiv:1909
 Topology opti-mization based graph convolutional network,2019, In IJCAI
 Graphrnn: Generatingrealistic graphs with deep auto-regressive models,2018, arXiv preprint arXiv:1802
 Graph-revisedconvolutional network,2020, In ECML PKDD
 Gaan:Gated attention networks for learning on large and spatiotemporal graphs,2018, arXiv preprintarXiv:1803
 Graph neural networkswith generated parameters for relation extraction,2019, arXiv preprint arXiv:1902
