title,year,conference
 Teslas autopilot fooled by stickers,2019, IEEE Spectrum
 Bayesian Optimization and Data Science,2019, Springer
 Synthesizing robust adversarialexamples,2017, CoRR
 CARLA:An open urban driving simulator,2017, In Proceedings of the 1st Annual Conference on Robot Learning
 Security of autonomous systems under physical attacks: With application toself-driving cars,2018, 2018
 Robust physical-world attacks on deep learningvisual classification,2018, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition (CVPR)
 Explaining and harnessing adversarialexamples,2014, arXiv preprint arXiv:1412
 PhysGAN: Generating physical-world-resilientadversarial examples for autonomous driving,2020, In Conference on Computer Vision and PatternRecognition
 Toward robust sensing for autonomousvehicles: An adversarial perspective,2020, IEEE Signal Processing Magazine
 DARTS:deceiving autonomous cars with toxic signs,2018, CoRR
 Adversarial examples: Attacks and defenses fordeep learning,2019, IEEE transactions on neural networks and learning Systems
