title,year,conference
 Constrained policy optimization,2017, InInternational Conference on Machine Learning
 Constrained Markov Decision Processes,1999, Chapman and Hall
 An actor-critic algorithm with function approximation for discounted cost con-strained markov decision processes,2010, Systems and Control Letters
 Learning constraints from locally-optimaldemonstrations under cost function uncertainty,2020, IEEE Robotics Autom
 A lyapunov-based approach to safe reinforcement learning,2018, In Advances in Neural Information ProcessingSystems
 Deepreinforcement learning from human preferences,2017, In Advances in Neural Information ProcessingSystems
 C-learn: Learning geometric constraints from demon-strations for multi-step manipulation in shared autonomy,2017, In IEEE International Conference onRobotics and Automation (ICRA)
 Guided cost learning: Deep inverse optimal controlvia policy optimization,2016, In International Conference on Machine Learning
 Generative adversarial imitation learning,2016, In Advances in NeuralInformation Processing Systems
 A bayesian approach to generative adversarialimitation learning,2018, In Advances in Neural Information Processing Systems
 Adam: A method for stochastic optimization,2015, In InternationalConference on Learning Representations
 AI safety gridworlds,2017, 2017
 Interactive learning from policy-dependent humanfeedback,2017, In International Conference on Machine Learning
 Bayesian nonparametric inverse reinforcement learning,2012, InMachine Learning and Knowledge Discovery in Databases
 Benchmarking safe exploration in deep reinforcementlearning,2019, 2019
 Active preference-basedlearning of reward functions,2017, In Robotics: Science and Systems XIII
 Maximum likelihood constraint inference for inversereinforcement learning,2020, In International Conference on Learning Representations
 Prefer-ences implicit in the state of the world,2019, In International Conference on Learning Representations
 Inferring geometric constraints in humandemonstrations,2018, In 2nd Conference on Robot Learning (CoRL)
 Reward constrained policy optimization,2019, InInternational Conference on Learning Representations
 Text-based interactive recom-mendation via constraint-augmented reinforcement learning,2019, In Advances in Neural InformationProcessing Systems
 Maximum entropy inversereinforcement learning,2008, In 23rd National Conference on Artificial Intelligence (AAAI)
