title,year,conference
 Fine-grained analysis ofoptimization and generalization for overparameterized two-layer neural networks,2019, In Proceedingsofthe 36th International Conference on Machine Learning
 Onexact computation with an infinitely wide neural net,2019, In Advances in Neural Information ProcessingSystems 32
 Deep equilibrium models,2019, In Advances in NeuralInformation Processing Systems 32
 Meta-learning with differentiableclosed-form solvers,2019, In International Conference on Learning Representations
 Food-101 - mining discriminative compo-nents with random forests,2014, In European Conference on Computer Vision
 Generalization bounds of stochastic gradient descent for wide and deepneural networks,1083, In Advances in Neural Information Processing Systems 32
 Catastrophic forgettingmeets negative transfer: Batch spectral shrinkage for safe transfer learning,2019, In Advances in NeuralInformation Processing Systems
 BERT: Pre-training of deepbidirectional transformers for language understanding,2019, In Proceedings of the 2019 Conference ofthe North American Chapter of the Association for Computational Linguistics: Human LanguageTechnologies
 Decaf: A deep convolutional activation feature for generic visual recognition,2014, InProceedings of the 31st International Conference on Machine Learning
 Model-agnostic meta-learning for fast adaptationof deep networks,2017, In Proceedings of the 34th International Conference on Machine Learning
 Rich feature hierarchies for accurateobject detection and semantic segmentation,2014, In Proceedings of the IEEE Conference on ComputerVision and Pattern Recognition (CVPR)
 Caltech-256 object category dataset,2007, Technical report
 Mask r-cnn,2017, In Proceedings of theIEEE International Conference on Computer Vision (ICCV)
 Rethinking imagenet pre-training,2018, arxiv
 A database for handwritten text recognition research,1994, IEEE Transactions on patternanalysis and machine intelligence
 Novel dataset forfine-grained image categorization: Stanford dogs,2011, In IEEE Conference on Computer Vision andPattern Recognition (CVPR)
 Gradient-based learning applied todocument recognition,1998, Proceedings of the IEEE
 DELTA: deeplearning transfer using feature map with attention for convolutional networks,2019, InternationalConference on Learning Representations
 Explicit inductive bias for transfer learningwith convolutional networks,2018, In Proceedings of the 35th International Conference on MachineLearning
 Multi-task deep neural networks fornatural language understanding,2019, In Proceedings of the 57th Annual Meeting of the Association forComputational Linguistics
 Fully convolutional networks for semantic segmentation,2015, In2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 Gradient-based hyperparameter optimizationthrough reversible learning,2015, In International Conference on Machine Learning
 Readingdigits in natural images with unsupervised feature learning,2011, In NIPS workshop on deep learningand unsupervised feature learning
 Learning and transferring mid-levelimage representations using convolutional neural networks,2014, In The IEEE Conference on ComputerVision and Pattern Recognition (CVPR)
 Recognizing indoor scenes,2009, In IEEE Conference on Computer Visionand Pattern Recognition
 Rapid learning or featurereuse? towards understanding the effectiveness of maml,2020, In International Conference on LearningRepresentations
 Transfusion: Understandingtransfer learning for medical imaging,2019, In Advances in Neural Information Processing Systems 32
 Meta-learning with implicitgradients,2019, In Advances in Neural Information Processing Systems 32
 Non-asymptotic theory of random matrices: extreme singularvalues,1576, In Proceedings of the International Congress of Mathematicians 2010 (ICM 2010) (In 4Volumes) Vol
 A perspective view and survey of meta-learning,2002, ArtificialIntelligence Review
 Understanding and improving information transferin multi-task learning,2020, In International Conference on Learning Representations
 Fashion-mnist: a novel image dataset for benchmarkingmachine learning algorithms,2017, arxiv
 Learning to navigate for fine-grained classification,2018, In Proceedings of the European Conference on Computer Vision (ECCV)
 Neural architecture search with reinforcement learning,2016, arXiv preprintarXiv:1611
