title,year,conference
 The complexity ofestimating Renyi entropy,2014, arXiv:1408
 Learning optimal and fair decision treesfor non-discriminative decision-making,2019, In Proceedings of the AAAI Conference on ArtificialIntelligence
 Machine bias,2016, ProPublica
 Penalizing unfairness in binary classification,2017, arXiv preprintarXiv:1707
 A convex framework for fair regression,2017, arXiv preprintarXiv:1706
 Man isto computer programmer as woman is to homemaker? debiasing word embeddings,2016, In Advancesin neural information processing systems
 A fair classifier using mutual information,2020, In2020 IEEE International Symposium on Information Theory (ISIT)
 A minimax framework for quantifying risk-fairness trade-off in regression,2020, arXiv preprint arXiv:2007
 Information theory and statistics,1991, Elements of InformationTheory
 Information theory and statistics: A tutorial,2004, Now Publishers Inc
 Automated experiments on ad privacysettings,2015, Proceedings on privacy enhancing technologies
 Principal inertia components and applications,2017, IEEE Transactions on InformationTheory
 Optimized pre-processing for discrimination prevention,2017, In Advances in NeuralInformation Processing Systems
 Certifying and removing disparate impact,2015, In proceedings of the 21th ACM SIGKDDinternational conference on knowledge discovery and data mining
 A confidence-based approach for balancing fair-ness and accuracy,2016, In Proceedings of the 2016 SIAM International Conference on Data Mining
 Fairness-aware neural Reyniminimization for continuous features,2019, arXiv preprint arXiv:1911
 Learning unbiasedrepresentations via Renyi minimization,2020, arXiv preprint arXiv:2009
 Equality of opportunity in supervised learning,2016, InAdvances in neural information processing systems
 Wasserstein fairclassification,2020, In Uncertainty in Artificial Intelligence
 Discrimination aware decision tree learn-ing,2010, In 2010 IEEE International Conference on Data Mining
 Fairness-aware learning through regular-ization approach,2011, In 2011 IEEE 11th International Conference on Data Mining Workshops
 Preventing fairness gerryman-dering: Auditing and learning for subgroup fairness,2018, In International Conference on MachineLearning
 Gradient-based learning applied to document recog-nition,1998, Proceedings of the IEEE
 Repair: Removing representation bias by dataset resampling,2019, InProceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 On gradient descent ascent for nonconvex-concaveminimax problems,2020, arXiv: 1906
 Stochastic recursive gradient descent ascent for stochasticnonconvex-strongly-concave minimax problems,2020, arXiv: 2001
 On fairnessand calibration,2017, In Advances in Neural Information Processing Systems
 On measures of dependence,1959, Acta Mathematica Academiae Scientiarum Hungarica
 Fairness for robust log lossclassification,2020, In AAAI
 Fast fair regression via efficient approximations of mutual information,2020, arXivpreprint arXiv:2002
 Discrimination in online ad delivery,2013, arXiv preprint arXiv:1301
 A distributionally robustapproach to fair classification,2020, arXiv preprint arXiv:2007
 Learning non-discriminatory predictors,2017, arXiv preprint arXiv:1702
 As it can be observed in Fig,1000, 5
