title,year,conference
 Optimality and approximationwith policy gradient methods in markov decision processes,2019, arXiv preprint arXiv:1908
 Fitted Q-iteration in continuous action-spacemdps,2008, In Advances in Neural Information Processing Systems
 Fine-grained analysis ofoptimization and generalization for overparameterized two-layer neural networks,2019, arXiv preprintarXiv:1901
 Dota 2 with large scaledeep reinforcement learning,2019, arXiv preprint arXiv:1912
 A comprehensive survey of multiagent reinforcementlearning,2008, IEEE Transactions on Systems
 Neural temporal-difference learningconverges to global optima,2019, arXiv preprint arXiv:1905
 Fast global convergence ofnatural policy gradient methods With entropy regularization,2020, arXiv preprint arXiv:2007
 AWesome: A general multiagent learning algorithm thatconverges in self-play and learns a best response against stationary opponents,2007, Machine Learning
 ToWard deeper understanding of neural netWorks:The poWer of initialization and a dual vieW on expressivity,2016, In Advances in Neural InformationProcessing Systems
 Error propagation for approximatepolicy and value iteration,2010, In Advances in Neural Information Processing Systems
 A theory of regularized Markov decisionprocesses,2019, arXiv preprint arXiv:1901
 Deep reinforcement learning from self-play in imperfect-information games,2016, arXiv preprint arXiv:1603
 Fictitious self-play in extensive-form games,2015, InInternational Conference on Machine Learning
 Neuralreplicator dynamics: Multiagent learning via hedging policy gradients,2020, In Proceedings of the 19thInternational Conference on Autonomous Agents and MultiAgent Systems
 Approximately optimal approximate reinforcement learning,2002, InInternational Conference on Machine Learning
 Neural fictitious self-play in imperfectinformation games with many players,2017, In Workshop on Computer Games
 Actor-critic algorithms,2000, In Advances in Neural InformationProcessing Systems
 Value function approximation in zero-sum Markov games,2012, arXivpreprint arXiv:1301
 Markov games as a framework for multi-agent reinforcement learning,1994, InMachine Learning Proceedings 1994
 Asynchronous methods for deep reinforcementlearning,2016, In International Conference on Machine Learning
 Combining policygradient and Q-learning,2016, arXiv preprint arXiv:1611
 On the use of non-stationarystrategies for solving two-player zero-sum markov games,2016, In International Conference on ArtificialIntelligence and Statistics
 Actor-critic fictitious play in simultaneous movemultistage games,2018, 2018
 Learning to collaborate inMarkov decision processes,2019, arXiv preprint arXiv:1901
 Non-convex min-max optimization:Provable algorithms and applications in machine learning,2018, arXiv preprint arXiv:1810
 An iterative method of solving a game,1951, Annals of Mathematics
 Proximal policyoptimization algorithms,2017, arXiv preprint arXiv:1707
 Adaptive trust region policy optimization: Globalconvergence and faster rates for regularized MDPs,2019, arXiv preprint arXiv:1909
 Stochastic games,1953, Proceedings of the National Academy of Sciences
 Hessian aided policygradient,2019, In International Conference on Machine Learning
 Masteringthe game of Go with deep neural networks and tree search,2016, Nature
 Mastering the game of Gowithout human knowledge,2017, Nature
 Reinforcement Learning: An Introduction,2018, MIT press
 Policy gradient meth-ods for reinforcement learning with function approximation,2000, In Advances in Neural InformationProcessing Systems
 Smooth fictitious play in N × 2 potential games,2019, In 2019 53rdAsilomar Conference on Signals
 Grandmaster level inStarCraft II using multi-agent reinforcement learning,2019, Nature
 Neural policy gradient methods: Globaloptimality and rates of convergence,2019, arXiv preprint arXiv:1909
 Average strategy fictitious play with application to road pricing,2013, In 2013 AmericanControl Conference
 Sample efficient policy gradient methods with recursivevariance reduction,2019, arXiv preprint arXiv:1909
 An improved convergence analysis of stochastic variance-reduced policy gradient,2020, In Uncertainty in Artificial Intelligence
 A theoretical analysis of deep Q-learning,2019, arXivpreprint arXiv:1901
 Fully decentralized multi-agent reinforcement learning with networked agents,2018, arXiv preprint arXiv:1802
 Policy optimization provably converges to Nashequilibria in zero-sum linear quadratic games,2019, In Advances in Neural Information ProcessingSystems
 Model-based multi-agent RL in zero-sumMarkov games with near-optimal sample complexity,2020, Advances in Neural Information ProcessingSystems
 Finite-sample analysis for SARSA with linearfunction approximation,2019, In Advances in Neural Information Processing Systems
