title,year,conference
 Multi-modal fusion for multimedia analysis: a survey,2010, Multimedia systems
 Multimodal machine learning:A survey and taxonomy,2018, IEEE transactions on pattern analysis and machine intelligence
 Multisensory Processing via early cortical stages:Connections of the Primary auditory cortical field with other sensory systems,0306, Neuroscience
 Audiovisual fusion: Challenges andnew aPProaches,2015, Proceedings of the IEEE
 Modality-invariant image-text em-bedding for image-sentence matching,2019, ACM Transactions on Multimedia Computing
 Recurrent neural networks for PolyPhonic soundevent detection in real life recordings,2016, In 2016 IEEE International Conference on Acoustics
 Multimodal interaction: A review,2014, Pattern Recognition Letters
 Mmss: Multi-modal sharable and specificfeature learning for rgb-d object recognition,2015, In Proceedings of the IEEE international conferenceon computer vision
 Large-margin multi-modaldeep learning for rgb-d object recognition,2015, IEEE Transactions on Multimedia
 Audio-based multimedia event detection using deep recurrent neu-ral networks,2016, In 2016 IEEE International Conference on Acoustics
