title,year,conference
 Controllable paraphrase genera-tion with a syntactic exemplar,2019, arXiv preprint arXiv:1906
 Plug and play language models: a simple approach to controlled textgeneration,2019, arXiv preprint arXiv:1912
 An iterative polishing framework based on quality aware masked language modelfor chinese poetry generation,2020, pp
 Towards better modelinghierarchical structure for self-attention with ordered neurons,2019, arXiv preprint arXiv:1909
 Con-trolling output length in neural encoder-decoders,2016, In Proceedings of the 2016 Conference onEmpirical Methods in Natural Language Processing
 Neural text generation from structured data withapplication to the biography domain,2016, pp
 Bleu: a method for automatic eval-uation of machine translation,2002, In Proc Meeting of the Association for Computational Linguistics
 Text generationwith exemplar-based adaptive decoding,2019, arXiv preprint arXiv:1904
 Deep contextualized word representations,2018, Annual Conference of the NorthAmerican Chapter of the Association for Computational Linguistics
 Stanza: A Pythonnatural language processing toolkit for many human languages,2020, In Proceedings of the 58th AnnualMeeting of the Association for Computational Linguistics: System Demonstrations
 Select and at-tend: Towards controllable content selection in text generation,2019, arXiv preprint arXiv:1909
 Attention is all you need,2017, In Advances in neural informationprocessing systems
 Self-attention with structural positionrepresentations,2019, arXiv preprint arXiv:1909
 A melody-conditioned lyrics language model,2018, In Proceedings of the 2018Conference of the North American Chapter of the Association for Computational Linguistics:Human Language Technologies
