title,year,conference
 Centrality and network flow,2005, Social networks
 Shortest-path kernels on graphs,2005, In Fifth IEEEinternational conference on data mining (ICDM'05)
 Spectral networks and locallyconnected networks on graphs,2014, In International Conference on Learning Representations
 Stochastic training of graph convolutional networks withvariance reduction,2018, In International Conference on Machine Learning
 Fastgcn: Fast learning with graph convolutional networks viaimportance sampling,2018, In International Conference on Learning Representations
 Coloring graph neUralnetworks for node disambigUation,2019, arXiv preprint arXiv:1912
 Convolutional neural networks ongraphs with fast localized spectral filtering,2016, In Advances in neural information processing systems
 Deep graphmatching consensus,2020, In International Conference on Learning Representations
 On graph kernels: Hardness results and efficientalternatives,2003, In Learning theory and kernel machines
 node2vec: Scalable feature learning for networks,2016, In Proceedingsof the 22nd ACM SIGKDD international conference on Knowledge discovery and data mining
 Open graph benchmark: Datasets for machine learning on graphs,2020, arXivpreprint arXiv:2005
 Adaptive sampling towards fast graphrepresentation learning,2018, In Advances in neural information processing systems
 Universal invariant and equivariant graph neural networks,2019, InAdvances in Neural Information Processing Systems
 Neural relationalinference for interacting systems,2018, In International Conference on Machine Learning
 Semi-supervised classification with graph convolutional net-works,2017, In Proceedings of the 6th International Conference on Learning Representations
 Predict then propagate:Graph neural networks meet personalized pagerank,2019, In International Conference on LearningRepresentations
 On social networks and collaborativerecommendation,2009, In Proceedings of the 32nd international ACM SIGIR conference on Researchand development in information retrieval
 Gated graph sequence neuralnetworks,2016, In International Conference on Learning Representations
 Invariant and equivariant graphnetworks,2019, In International Conference on Learning Representations
 Neural network for graphs: A contextual constructive approach,2009, IEEE Transactionson Neural Networks
 Geometric deep learning on graphs and manifolds using mixture model cnns,2017, InProceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Relational poolingfor graph representations,2019, In International Conference on Machine Learning
 Deepwalk: Online learning of social repre-sentations,2014, In Proceedings of the 20th ACM SIGKDD international conference on Knowledgediscovery and data mining
 Random features strengthen graph neuralnetworks,2020, arXiv preprint arXiv:2002
 Random projections,2020, CMSC 35900 (Spring 2009) LargeScale Learning
 Pitfallsof graph neural network evaluation,2018, Relational Representation Learning Workshop
 Theemerging field of signal processing on graphs: Extending high-dimensional data analysis to net-works and other irregular domains,2013, IEEE signal processing magazine
 Representation learning on graphs with jumping knowledge networks,2018, In InternationalConference on Machine Learning
 Position-aware graph neural networks,2019, In InternationalConference on Machine Learning
 Predicting multicellular function through multi-layer tissuenetworks,2017, Bioinformatics
