title,year,conference
 To combat multi-class imbalanced problems by means of over-sampling techniques,2015, Soft Computing
 Hybrid learning using geneticalgorithms and decision trees for pattern classification,1995, pp
 Synthetic oversampling for advancedradioactive threat detection,2015, pp
 Safe-level-smote:Safe-level-synthetic minority over-sampling technique for handling the class imbalanced prob-lem,2009, pp
 Dbsmote:Density-based synthetic minority over-sampling technique,2012, Applied Intelligence
 Smoteboost:Improving prediction of the minority class in boosting,2003, In European Conference on KnowledgeDiscovery in Databases: Pkdd
 Xgboost: A scalable tree boosting system,2016, 2016
 Racog and wracog: Two probabilisticoversampling techniques,2015, IEEE Transactions on Knowledge and Data Engineering
 A new over-sampling approach: Random-smote for learning fromimbalanced data sets,2011, In Knowledge Science
 Geometric smote: Effective oversampling for imbalancedlearning through a geometric extension of smote,2017, arXiv: Learning
 Improving imbalanced learning through a heuristic over-sampling method based on k-means and smote,2018, Information Sciences
 Genetic algorithms for multiobjective optimization: Formu-lationdiscussion and generalization,1993, 1993
 Learning from imbalanced data,2009, IEEE Transactions on Knowledge andData Engineering
 Adasyn: Adaptive synthetic sampling approachfor imbalanced learning,2008, pp
 Adaptation in natural and artificial systems,1975, 1975
 Constrained optimization via geneticalgorithms,1994, Simulation
 Smote-ipf: Addressingthe noisy and borderline examples problem in imbalanced classification by a re-sampling methodwith filtering,2015, Information Sciences
 Genetic algorithm to improve svm basednetwork intrusion detection system,2005, In Advanced Information Networking and Applications
 Genetic k-means algorithm,1999, IEEE Transactions on Systems
 Crcen: A generalized cost-sensitive neural network approach forimbalanced classification,2019, 2019
 Support vector machines for classification in nonstandard situations,2002, Machine Learning
 Exploratory undersampling for class-imbalancelearning,2009, IEEE Transactions on Systems Man and Cybernetics Part B
 Cure-smote algorithm and hybrid algorithm for feature selection and param-eter optimization based on random forests,2017, BMC Bioinformatics
 Training feedforward neural networks using genetic algorithms,1989, In Proc
 Oups: A combined approach using smote andpropensity score matching,2014, pp
 Selective pre-processing of imbalanced data for improvingclassification performance,2008, pp
 Smote-d adeterministic version of smote,2016, pp
 Improving smote withfuzzy rough prototype selection to detect noise in imbalanced classification data,2012, pp
 Classification of imbalanced data by using the smote algorithm andlocally linear embedding,2007, In International Conference on Signal Processing
 Diversity analysis on imbalanced data sets by using ensemble models,2009, InIEEE Symposium on Computational Intelligence and Data Mining
 Adacost: Misclassification cost-sensitive boosting,1999, 1999
 G-smote: A gmm-based synthetic minority oversampling techniquefor imbalanced learning,2018, arXiv: Learning
