title,year,conference
 Layer normalization,2016, CoRR
 Mutual information neural estimation,2018, in ICML
 Deep gaussian embedding of attributed graphs:Unsupervised inductive learning via ranking,2018, in ICLR
 Multi-channelgraph neural network for entity alignment,2019, In ACL
 Convolutional 2Dknowledge graph embeddings,2018, In AAAI
 Understanding the difficulty of training deep feedforward neuralnetworks,2010, In AISTATS
 Learning to exploit long-term relational dependencies inknowledge graphs,2019, In ICML
 Inductive representation learning on largegraphs,2017, In NIPS
 Deep residual learning for imagerecognition,2016, In CVPR
 Robust attribute and structurepreserving graph embedding,2020, In PAKDD
 Learning deep representations by mutual information estimationand maximization,2019, In ICLR
 Learning entity and relationembeddings for knowledge graph completion,2015, In AAAI
 Encoding sentences with graph convolutional networks forsemantic role labeling,2017, In EMNLP
 Efficient estimation of word representa-tions in vector space,2013, In ICLR Workshop
 Dual-primal graph convolutional networks,2018, CoRR
 Knowl-edge graph embedding for link prediction: A comparative analysis,2020, CoRR
 Modeling relational data with graph convolutional networks,2018, In ESWC
 End-to-end structure-aware convolutional networks for knowledge base completion,2019, In AAAI
 Cross-lingual entity alignment via joint attribute-preservingembedding,2017, In ISWC
 Bootstrapping entity alignment withknowledge graph embedding,2018, In IJCAI
 Rotate: Knowledge graph embedding byrelational rotation in complex space,2019, In ICLR
 Contrastive representation distillation,2020, In ICLR
 Observed versus latent features for knowledge base and textinference,2015, In CVSC
 Complexembeddings for simple link prediction,2016, In ICML
 Representation learning with contrastive predictivecoding,2018, CoRR
 Composition-basedmulti-relational graph convolutional networks,2020, In ICLR
 Attention is all you need,2017, In NIPS
 Graph attention networks,2018, In ICLR
 Knowledge graph embedding: A survey ofapproaches and applications,2017, IEEE Transactions on Knowledge and Data Engineering
 Knowledge graph embedding bytranslating on hyperplanes,2014, In AAAI
 Cross-lingual knowledge graph alignmentvia graph convolutional networks,2018, In EMNLP
 Relation-awareentity alignment for heterogeneous knowledge graphs,2019, In IJCAI
 Empirical evaluation of rectified activations inconvolutional network,2015, CoRR
 Embedding entities andrelations for learning and inference in knowledge bases,2015, In ICLR
 A vectorized relational graphconvolutional network for multi-relational network alignment,2019, In IJCAI
