title,year,conference
 The science of fractal images,1988, Springer
 Large scale gan training for high fidelity naturalimage synthesis,2018, International Conference on Learning Representations
 Reusing discriminatorsfor encoding: Towards unsupervised image-to-image translation,2020, arXiv preprint arXiv:2003
 Neural ordinary differentialequations,2018, In Advances in Neural Information Processing Systems
 Stargan v2: Diverse image synthesis formultiple domains,2020, Conference on Computer Vision and Pattern Recognition
 Generative adversarial nets,2014, In Advances in NeuralInformation Processing Systems
 Multilayer feedforward networks areuniversal approximators,1989, Neural networks
 Deep networks withstochastic depth,2016, In European Conference on Computer Vision
 Single image super-resolution from transformedself-exemplars,2015, In Conference on Computer Vision and Pattern Recognition
 Differentiable fixed-point iteration layer,2020, arXivpreprint arXiv:2002
 A style-based generator architecture for generativeadversarial networks,2019, Conference on Computer Vision and Pattern Recognition
 Analyzingand improving the image quality of stylegan,2019, arXiv preprint arXiv:1912
 Recurrent feature reasoning forimage inpainting,2020, Conference on Computer Vision and Pattern Recognition
 Ganhopper: Multi-hopgan for unsupervised image-to-image translation,2020, European Conference on Computer Vision
 Coupled generative adversarial networks,2016, In Advances in NeuralInformation Processing Systems
 Making a “completely blind” image qualityanalyzer,2013, IEEE Signal Processing Letters
 Universal approximation depth and errors of narrow belief networks with discreteunits,2014, Neural computation
 Semantic image synthesis withspatially-adaptive normalization,2019, In Conference on Computer Vision and Pattern Recognition
 Contextencoders: Feature learning by inpainting,2016, Conference on Computer Vision and Pattern Recognition
 Unsupervised representation learning with deep con-volutional generative adversarial networks,2015, International Conference on Learning Representations
 Singan: Learning a generative model from asingle natural image,2019, In International Conference on Computer Vision
 Yfcc100m: the new data in multimedia research,2016, Commun
 Attention is all you need,2017, In Advances in Neural InformationProcessing Systems
 Convolutional networks with adaptive inference graphs,2017, InEuropean Conference on Computer Vision
 High-resolution image synthesis and semantic manipulation with conditional gans,2018, In Conference onComputer Vision and Pattern Recognition
 Blockdrop: Dynamic inference paths in residual networks,2017, Conferenceon Computer Vision and Pattern Recognition
 Dualgan: Unsupervised dual learning forimage-to-image translation,2017, International Conference on Computer Vision
 Few-shot adversariallearning of realistic neural talking head models,2019, arXiv preprint arXiv:1905
 Dynamically unfolding recurrent restorer:A moving endpoint control method for image restoration,2019, arXiv preprint arXiv:1805
 Unpaired image-to-image translationusing cycle-consistent adversarial networks,2017, In International Conference on Computer Vision
