title,year,conference
 Community detection in general stochastic block models:Fundamental limits and efficient algorithms for recovery,2015, In 2015 IEEE 56th Annual Symposiumon Foundations ofComputer Science
 N-gcn: Multi-scale graphconvolution for semi-supervised node classification,2018, arXiv preprint arXiv:1802
 Diffusion-convolutional neural networks,2016, In Advances in neuralinformation processing systems
 On modularity clustering,2007, IEEE transactions on knowledge and dataengineering
 Topology adaptivegraph convolutional networks,2017, arXiv preprint arXiv:1710
 Understanding the difficulty of training deep feedforward neuralnetworks,2010, In Proceedings of the thirteenth international conference on artificial intelligence andstatistics
 node2vec: Scalable feature learning for networks,2016, In Proceedingsof the 22nd ACM SIGKDD international conference on Knowledge discovery and data mining
 Using trusted data to traindeep networks on labels corrupted by severe noise,2018, In Advances in neural information processingsystems
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Semi-supervised classification with graph convolutional net-works,2016, arXiv preprint arXiv:1609
 A flexible generative framework for graph-basedsemi-supervised learning,2019, In Advances in Neural Information Processing Systems
 A general optimization framework for smoothinglanguage models on graph structures,2008, In Proceedings of the 31st annual international ACM SIGIRconference on Research and development in information retrieval
 Geometric deep learning on graphs and manifolds using mixture model cnns,2017, InProceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Deepwalk: Online learning of social repre-sentations,2014, In Proceedings of the 20th ACM SIGKDD international conference on Knowledgediscovery and data mining
 Deep learning is robust to massivelabel noise,2017, arXiv preprint arXiv:1705
 Attention-based graph neuralnetwork for semi-supervised learning,2018, arXiv preprint arXiv:1803
 Graph attention networks,2017, arXiv preprint arXiv:1710
 Deep learning via Semi-sUpervised embedding,2012, In Neural networks: Tricks of the trade
 Revisiting semi-sUpervised learningwith graph embeddings,2016, arXiv preprint arXiv:1603
 Dual graph convolutional networks for graph-based semi-supervisedclassification,2018, In Proceedings of the 2018 World Wide Web Conference
