title,year,conference
 Unsupervised neural machinetranslation,2018, ArXiv
 Combining labeled and unlabeled data with co-training,1998, In COLT’ 98
 On identifiability in transformers,2020, arXiv: Computation and Language
 Multitask learning,1998, In Encyclopedia of Machine Learning and Data Mining
 Whatyou can cram into a single vector: Probing sentence embeddings for linguistic properties,2018, ArXiv
 Elements of information theory,1991, In Elements of Information Theory
 Dual learning for machinetranslation,2016, In NIPS
 A probabilistic formulation ofunsupervised text style transfer,2020, ArXiv
 Auto-encoding variational bayes,2014, CoRR
 An introduction to variational autoencoders,2019, Found
 Cross-lingual language model pretraining,2019, ArXiv
 Unsupervised machine transla-tion using monolingual corpora only,2018, ArXiv
 Pre-training via paraphrasing,2020, arXiv preprint arXiv:2006
 Implicit maximum likelihood estimation,2018, arXiv preprintarXiv:1809
 Bleu: a method for automatic evaluationof machine translation,2002, In ACL
 Information-theoretic probing for linguistic structure,2020, In Proceedings of the 58th AnnualMeeting of the Association for Computational Linguistics
 On the importance ofthe kullback-leibler divergence term in variational autoencoders for text generation,2019, ArXiv
 Explicit cross-lingual pre-training forunsupervised machine translation,2019, arXiv preprint arXiv:1909
 Neural machine translation of rare words withsubword units,2016, ArXiv
 Mass: Masked sequence to sequencepre-training for language generation,2019, In ICML
 Cross-lingual retrieval for iterative self-supervised training,2020, ArXiv
