title,year,conference
 Openface: A general-purposeface recognition,2016, 2016
 Recycle-gan: Unsupervised videoretargeting,2018, In Proceedings of the European Conference on Computer Vision
 Displaced dynamic expression regression for real-time facialtracking and animation,2014, ACM Transactions on Graphics
 Realtime multi-person 2d pose estimationusing part affinity fields,2017, In CVPR
 Everybody dance now,2019, InProceedings of the IEEE International Conference on Computer Vision
 Adversarial video generation on complex datasets,2019, arXivpreprint arXiv:1907
 Disentangled and controllable faceimage generation via 3d imitative-contrastive learning,2020, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition
 Vid2game: Controllable characters extracted fromreal-world videos,2019, arXiv preprint arXiv:1904
 3d guided fine-grained face manipulation,2019, InProceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Marionette: Few-shotface reenactment preserving identity of unseen targets,2020, In Proceedings of the AAAI Conference onArtificial Intelligence
 In defense of the triplet loss for personre-identification,2017, arXiv:1703
 Unsupervised learning of objectlandmarks through conditional image generation,2018, In Proceedings of the Neural InformationProcessing Systems Conference
 Perceptual losses for real-time style transfer andsuper-resolution,2016, In Proceedings of the European Conference on Computer Vision
 Deep video portraits,2018, ACMTransactions on Graphics
 Unsupervised keypoint learning forguiding class-conditional video prediction,2019, In Proceedings of the Neural Information ProcessingSystems Conference
 Adam: A method for stochastic optimization,2014, In ICLR
 Unsupervised part-baseddisentangling of object shape and appearance,2019, In Proceedings of the IEEE Conference on ComputerVision and Pattern Recognition
 pagan: real-time avatars using dynamic textures,2018, ACM Transactions onGraphics
 Voxceleb: a large-scale speaker identification dataset,2017, InINTERSPEECH
 Make a face: Towards arbitrary high fidelity face manipulation,2019, In Proceedings of theIEEE International Conference on Computer Vision
 Humanmotion transfer from poses in the wild,2020, arXiv preprint arXiv:2004
 U-net: Convolutional networks for biomedicalimage segmentation,2015, In MICCAI
 Temporal generative adversarial nets with singularvalue clipping,2017, In Proceedings of the IEEE International Conference on Computer Vision
 Deformable gans forpose-based human image generation,2018, In Proceedings of the IEEE Conference on Computer Visionand Pattern Recognition
 First ordermotion model for image animation,2019, In Proceedings of the Neural Information Processing SystemsConference
 Animatingarbitrary objects via deeP motion transfer,2019, In Proceedings of the IEEE Conference on ComputerVision and Pattern Recognition
 Mocogan: DecomPosing motionand content for video generation,2018, In Proceedings of the IEEE Conference on Computer Vision andPattern Recognition
 High-resolution image synthesis and semantic manipulation with conditional gans,2017, In Proceedings ofthe IEEE Conference on Computer Vision and Pattern Recognition
 Video-to-video synthesis,2018, In Proceedings of the Neural Information ProcessingSystems Conference
 Few-shotvideo-to-video synthesis,2019, In Proceedings of the Neural Information Processing Systems Conference
 Every smile isunique: Landmark-guided diverse smile generation,2018, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition
 Few-shot adversariallearning of realistic neural talking head models,2019, In Proceedings of the IEEE Conference onComputer Vision and Pattern Recognition
 Unsuperviseddiscovery of object landmarks as structural representations,2018, In Proceedings of the IEEE Conferenceon Computer Vision and Pattern Recognition
