title,year,conference
 Towardsfederated learning at scale: System design,2019, arXiv preprint arXiv:1902
 Federated optimization: distributedmachine learning for on-device intelligence,2016, arXiv:1610
 Learning multiple layers of features from tiny images,2009, 2009
 Gradient-based learning applied todocument recognition,1998, Proceedings of the IEEE
 On the convergence offedavg on non-iid data,2019, arXiv preprint arXiv:1907
 Client-edge-cloud hierarchical federatedlearning,2019, arXiv preprint arXiv:1905
 Joint data compression and computa-tion offloading in hierarchical fog-cloud systems,2019, IEEE Transactions on Wireless Communications
 Robust andcommunication-efficient federated learning from non-iid data,2019, IEEE transactions on neuralnetworks and learning systems
 Fashion-mnist: a novel image dataset for benchmarkingmachine learning algorithms,2017, arXiv preprint arXiv:1708
 Federatedlearning with non-iid data,2018, arXiv preprint arXiv:1806
