title,year,conference
 Bayesian online changepoint detection,2007, arXiv preprintarXiv:0710
 Regime aware learning,2016, In Conference on Probabilistic Graphical Models
 The Chronnectome: time-varyingconnectivity networks as the next frontier in fmri data discovery,2014, Neuron
 Multi-domain causal structurelearning in linear systems,2018, In Advances in neural information processing systems
 A kernelstatistical test of independence,2008, In Advances in neural information processing systems
 Nonlinear causaldiscovery with additive noise models,2009, In NIPS
 Tracking time-varying graphical structure,2013, In Advances in neuralinformation processing systems
 Gradient-based neuraldag learning,2019, arXiv preprint arXiv:1906
 Meta-analysis of genetic association studies,2015, Annals of laboratory medicine
 Moderated effect sizeand p-value combinations for microarray meta-analyses,2009, Bioinformatics
 Long-term neural andphysiological phenotyping of a single human,2015, Nature communications
 Time-varying dynamic bayesian networks,2009, In Advances in neuralinformation processing systems
 The max-min hill-climbing bayesiannetwork structure learning algorithm,2006, Machine learning
 A state-sPace mixed membershiP blockmodel for dynamic networktomograPhy,2010, The Annals of Applied Statistics
 Dag-gnn: Dag structure learning with graPh neural networks,2019, arXivpreprint arXiv:1904
 Dags with no tears: ContinuousoPtimization for structure learning,2018, In Advances in Neural Information Processing Systems
 Learning sParse nonParametricdags,2019, arXiv preprint arXiv:1909
 Causal discovery with reinforcement learning,2019, arXiv preprintarXiv:1906
	If G0C is the graPh after adding any edges from GC,2021, Although both G0C and GC contain PC (V
 Huang et al,2021, (2019) uses anormalized version of the estimated HSIC
