title,year,conference
 Bayesian Optimization ofAsynchronous Distributed Microelectrode Theta Stimulation and SPatial Memory,1557, Proceedings ofthe Annual International Conference of the IEEE Engineering in Medicine and Biology Society
 Learning to AdaPt : Meta-Learning for Model-Based Control,2009, 2009
 Model-Agnostic Meta-Learning for Fast AdaPtationof DeeP Networks,2017, 2017
 Learning to forget: Continual predictionwith lstm,1999, 1999
 Active Learning with Local Models 1 Introduction,1998, NeuralProcessing Letters
 Model Assessment and Selection,2017, In TheElements of Statistical Learning Data Mining
 Meta-Learning in NeuralNetworks: A Survey,2020, pp
 BatchBALD: Efficient and Diverse BatchAcquisition for Deep Bayesian Active Learning,2019, (NeurIPS)
 Meta-Learning TransferableActive Learning Policies by Deep Reinforcement Learning,2018, pp
 Safe exploration for optimizationwith Gaussian processes,2015, 32nd International Conference on Machine Learning
 Stagewise safe bayesian optimization with gaussianprocesses,2018, In International Conference on Machine Learning
 Reinforcement Learning: An Introduction,2018, The MIT Press
 Safe exploration in finite Markov decisionprocesses with Gaussian processes,1049, Advances in Neural Information Processing Systems
 Learning to reinforcement learn,2016, pp
 Safe Learning of Quadrotor DynamicsUsing Barrier Certificates,2018, 2018 IEEE International Conference on Robotics and Automation(ICRA)
 Regret bounds for meta Bayesian optimizationwith an unknown Gaussian process prior,1049, Advances in Neural Information Processing Systems
 Safe active learning for time-seriesmodeling with Gaussian processes,1049, Advances in Neural Information Processing Systems
