title,year,conference
 Theoretical analysis of auto rate-tuning by batchnormalization,2018, arXiv preprint arXiv:1812
 Diffusion-convolutional neural networks,2016, In Advances in neuralinformation processing systems 
 Layer normalization,2016, arXiv preprintarXiv:1607
 Spectral networks and locallyconnected networks on graphs,2013, arXiv preprint arXiv:1312
 Convolutional neural networks ongraphs with fast localized spectral filtering,2016, In Advances in neural information processing systems
 Graph neural tangent kernel: Fusing graph neural networks with graph kernels,2019, In Advancesin Neural Information Processing Systems
 Inductive representation learning on large graphs,2017, InAdvances in neural information processing systems
 Deep residual learning for imagerecognition,2016, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Norm matters: efficient and accuratenormalization schemes in deep networks,2018, In Advances in Neural Information Processing Systems
 Matrix analysis,2012, Cambridge university press
 Open graph benchmark: Datasets for machine learning on graphs,2020, arXivpreprint arXiv:2005
 Batch normalization: Accelerating deep network training byreducing internal covariate shift,2015, In International Conference on Machine Learning
 Adam: A method for stochastic optimization,2015, In InternationalConference on Learning Representations
 Deepergcn: All you need to traindeeper gcns,2020, arXiv preprint arXiv:2006
 An exponential learning rate schedule for deep learning,2019, arXivpreprint arXiv:1910
 Towards understanding regularizationin batch normalization,2019, In International Conference on Learning Representations
 Spectral normalization forgenerative adversarial networks,2018, In International Conference on Learning Representations
 Geometric deep learning on graphs and manifolds using mixture model cnns,2017, InProceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Thegraph neural network model,2008, IEEE Transactions on Neural Networks
 Bayesian uncertainty estimation for batchnormalized deep networks,2018, In International Conference on Machine Learning
 Instance normalization: The missingingredient for fast stylization,2016, arXiv preprint arXiv:1607
 Graph attention networks,2018, 2018
 Group normalization,2018, In Proceedings of the European Conference onComputer Vision (ECCV)
 Moleculenet: A benchmark for molecular machinelearning,2017, CoRR
 Acomprehensive survey on graph neural networks,2020, IEEE Transactions on Neural Networks andLearning Systems
 Representation learning on graphs with jumping knowledge networks,2018, In InternationalConference on Machine Learning
 Deep graph kernels,2015, In Proceedings of the 21th ACMSIGKDD International Conference on Knowledge Discovery and Data Mining
 Revisiting”over-smoothing” in deep gcns,2020, arXiv preprint arXiv:2003
 Understand-ing deep learning requires rethinking generalization,2017, In International Conference on LearningRepresentations
 An end-to-end deep learningarchitecture for graph classification,2018, pp
 Deep learning on graphs: A survey,2020, IEEE Transactions onKnowledge and Data Engineering
 Pairnorm: Tackling oversmoothing in gnns,2020, In InternationalConference on Learning Representations
 Graph neural networks: A review of methods and applications,2018, arXiv preprintarXiv:1812
 Towards deepergraph neural networks with differentiable group normalization,2020, arXiv preprint arXiv:2006
 Layer-dependentimportance sampling for training deep and large graph convolutional networks,2019, In Advances inNeural Information Processing Systems 
