title,year,conference
 Analysis of representationsfor domain adaptation,2007, d
 A theory of learning from different domains,1573, MaChiineLerrning
 Group equivariant convolutional networks,2016,nr0cιιdnine 0f Thι 33rdIrtnrretiorel Conference or Machine Lnerrirg
 Approximation by superpositions ofa sigmoidal function,1787,Metheeetice of cortrol
 Stochastic deep networks,2017, PtCnendingSffthe 36th Irterretiorel COAererCe or Mechire Leerrirg
 UCI machine learning repository,2017, 2017
 Probabilistic model-agnostic meta-learning,2018,AnverCesir Neurel InfOrmetiOr PrOCeeeirn Systems 31
 Deep symmetry networks,2014,AnverCes ir neurel IrforeetiorProcessirn Systems 27
 Deep models ofinteractions across sets,2018,ProCeenirns of the 35th Irterretiorel CorfererCe or MeChire Leerrirn
 Learning population-level diffusionswith generative rnns,2016,ProCeenirns of The 33rn Irterretiorel CorfererCe or MeChire Leerrirn
 Deep convolutional networks on graph-structureddata,2017,ArXiv
 Dataset2vec: Learning dataset meta-features,2017,erXiv
 On the generalization of equivariance and convolution in neuralnetworks to the action of compact groups,2018,Proceedirns of The 35th Irterretiorel Corfererce orMechire Leerrirn
 Imagenet classification with deep con-Volutional neural networks,2012, AdVnTCeeSnTlTeUKmlnTIoOrmaiinTIPOoeeSinTIgSySeems
 Multilayer feedforward net-works with a nonpolynomial activation function can approximate any function,1993,NeUPal neSwoPke
 Invariant and equivariant graphnetworks,2019,7Sh InSePnaSional ConfePence on LeaPning RepPeeenSaSione
 On the universality of invariantnetworks,2019,PPoceedinge of She 36Sh InSePnaSional ConfePence on Machine LeaPning
 Instance spacesfor machine learning classification,2018,Machine LeaPning
 Instance spaces formachine learning classification,2018,Machine LeaPning
 Scalable hyperpa-rameter transfer learning,2018,Addancee in NeUPal InfoPraSion PPoceeeing SSeSere 31
 Computational optimal transport,1935, Funndsitinysnnd Preny5® inMachine LeaPning
 Meta-learning by land-marking various learning algorithms,2000,PPoceeningy of She SedenSeenSh InSePndSiondl ConfePenceon Mdchine LedPning
 Pointnet: Deep learning on point setsfor 3d classification and segmentation,2017,PPoc
 Analytic theory of polynomials,2002,OxfoPn UnidePyiSSPPeyy
 Equivariance through parameter-sharing,2017,PPoceeningy of She 34Sh InSePndSiondl ConfePence on Mdchine LedPning
 The algorithm selection problem,1976,Anddncey in CorpUSePy
 Optimal transport for applied mathematicians,2015, Birkdueer
 Symmetries and discriminability in feedforward network architectures,1941,IEEETrdnydcSiony on Neurdl NeSworry
 Bayesian optimizationwith robust bayesian neural networks,2016,Anddncey in Neurdl InforrdSion Proceyying SSySery 29
 Representation theory and invariant neural networks,1996,Discreteapplied mathematics
