title,year,conference
 Wasserstein GAN,2017, arXiv:1701
 Dynamic upsampling of smoke throughdictionary-based learning,2019, arXiv:1910
 Coherent online video styletransfer,2017, In The IEEE International Conference on Computer Vision (ICCV)
 Data-driven synthesis of smoke flows with CNN-based featuredescriptors,2017, ACM Trans
 Deep learning for physical processes:Incorporating prior scientific knowledge,2017, arXiv preprint arXiv:1711
 Image super-resolution using deepconvolutional networks,2016, IEEE transactions on pattern analysis and machine intelligence
 Smoothed particle hydrodynamics: Theory and appli-cation to non-spherical stars,1977, Monthly Notices of the Royal Astronomical Society
 Numerical Calculation of Time-dependent Viscous Incompress-ible Flow of Fluid with Free Surface,1965, Physics of Fluids
 Deep residual learning for image recog-nition,2016, In Proc
 Difftaichi: Differentiable programming for physical simulation,2019, arXiv preprintarXiv:1910
 Image-to-image translation withconditional adversarial networks,2017, Proc
 The relativistic discriminator: a key element missing from standardGAN,2018, CoRR
 Deep fluids: A generative network for parameterized fluid simulations,1467, ComputerGraphics Forum
 Lagrangian neuralstyle transfer for fluids,2020, ACM Trans
 Smoothed particle hydro-dynamics techniques for the physics based simulation of fluids and solids,2019, In EUROGRAPHICS2019 Tutorials
 Data-driven fluid simulations using regression forests,2015, ACM Trans
 Photo-realistic singleimage super-resolution using a generative adversarial network,2016, arXiv:1609
 Robust video super-resolution with learned temporal dynamics,2017, In The IEEE InternationalConference on Computer Vision (ICCV)
 Conditional generative adversarial nets,2014, arXiv preprintarXiv:1411
 Spectral normalizationfor generative adversarial networks,2018, In International Conference on Learning Representations
 Deep dynamicalmodeling and control of unsteady fluid flows,2018, In Advances in Neural Information ProcessingSystems
 Flexible neural representation for physics prediction,2018, In Advances in NeuralInformation Processing Systems
 Pre-computed liquid spaces with generative neuralnetworks and optical flow,2017, arXiv:1704
 Unsupervised representation learning with deepconvolutional generative adversarial networks,2016, Proc
 Temporal generative adversarial nets with singu-lar value clipping,2017, In IEEE International Conference on Computer Vision (ICCV)
 Frame-recurrent video super-resolution,2018, In IEEE Conference on Computer Vision and Pattern Recognition
 Graph networks as learnable physics engines forinference and control,2018, In International Conference on Machine Learning
 Implicit neural representations with periodic activation functions,2020, arXiv preprintarXiv:2006
 Stable Fluids,1999, In Proc
 A MaterialPoint Method for Snow Simulation,2013, ACM Trans
 Accelerating eulerianfluid simulation with convolutional networks,2017, ICML
 Liquid splash modeling with neural networks,2018, InComputer Graphics Forum
 Lagrangian fluid simu-lation with continuous convolutions,2019, In International Conference on Learning Representations
 A physically consistent implicitviscosity solver for sph fluids,2018, Computer Graphics Forum
 Seqgan: Sequence generative adversarial netswith policy gradient,2017, In AAAI
 Animating Sand as a Fluid,2005, ACM Trans
 The time stepcorresponds to 100 frames per second,1603, The scenes consist of randomly generated shapes that fallinto a pool from different heights at random times
