title,year,conference
 Longshort-term memory and learning-to-learn in networks of spiking neurons,2018, In Advances in NeuralInformation Processing Systems
 Spikeprop: backpropagation for networksof spiking neurons,2000, In ESANN
 Constructingenergy-efficient mixed-precision neural networks through principal component analysis for edgeintelligence,2020, Nature Machine Intelligence
 Training deep nets with sublinearmemory cost,2016, arXiv preprint arXiv:1604
 Eyeriss: A spatial architecture for energy-efficientdataflow for convolutional neural networks,2016, ACM SIGARCH Computer Architecture News
 Loihi: A neuromorphicmanycore processor with on-chip learning,2018, IEEE Micro
 Imagenet: A large-scalehierarchical image database,2009, In 2009 IEEE conference on computer vision and pattern recognition
 Leaky integrate-and-fire spiking neuron with learnable membrane time parameter,2020, arXivpreprint arXiv:2007
 Neuromorphic nearest-neighbor searchusing intel’s pohoiki springs,2020, arXiv preprint arXiv:2004
 Rmp-snns: Residual membrane potentialneuron for enabling deeper high-accuracy and low-latency spiking neural networks,2020, In The IEEEConference on Computer Vision and Pattern Recognition (CVPR)
 Deep residual learning for imagerecognition,2016, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Amc: Automl for modelcompression and acceleration on mobile devices,2018, In Proceedings of the European Conference onComputer Vision (ECCV)
 Gradient descent for spiking neural networks,2018, In Advancesin Neural Information Processing Systems
 Enabling spike-based backpropagation instate-of-the-art deep neural network architectures,2019, arXiv preprint arXiv:1903
 Evaluating the energy efficiency of deepconvolutional neural networks on cpus and gpus,2016, In 2016 IEEE International Conferences onBig Data and Cloud Computing (BDCloud)
 Surrogate gradient learning in spikingneural networks,2019, arXiv preprint arXiv:1901
 Xnor-net: Imagenetclassification using binary convolutional neural networks,2016, In European conference on computervision
 Enabling deepspiking neural networks with hybrid conversion and spike timing dependent backpropagation,2020, InInternational Conference on Learning Representations
 Going deeper in spikingneural networks: Vgg and residual architectures,2019, Frontiers in neuroscience
 Slayer: Spike layer error reassignment in time,2018, InAdvances in Neural Information Processing Systems
 Very deep convolutional networks for large-scale imagerecognition,2014, arXiv preprint arXiv:1409
 A tandem learningrule for efficient and rapid inference on deep spiking neural networks,2019, arXiv
 Spatio-temporal backpropagation fortraining high-performance spiking neural networks,2018, Frontiers in neuroscience
 Effective and efficient computation withmultiple-timescale spiking recurrent neural networks,2020, arXiv preprint arXiv:2005
 Temporal spike sequence learning via backpropagation for deep spikingneural networks,2020, arXiv preprint arXiv:2002
