title,year,conference
 Integrating constraints and metric learning in semi-supervised clustering,2004, In ICML ’04
 Deep transductive semi-supervised maximum margin clustering,2015, ArXiv
 Deep unsupervised clustering with gaussian mixturevariational autoencoders,2016, ArXiv
 Clustering-driven deep embeddingwith pairwise constraints,2019, IEEE computer graphics and applications
 Neural network-based clustering using pairwise constraints,2015, ArXiv
 Variational deepembedding: An unsupervised and generative approach to clustering,2017, In IJCAI
 Auto-encoding variational bayes,2014, In Yoshua Bengio and YannLeCun (eds
 Semi-supervisedlearning with deep generative models,2014, In NIPS
 Mixture-of-experts varia-tional autoencoder for clustering and generating from similarity-based representations,2019, ArXiv
 Learning with constrained and unlabelleddata,2005, 2005 IEEE Computer Society Conference on Computer Vision and Pattern Recognition(CVPRg
 Model-based clustering with probabilistic con-straints,2005, In SDM
 Rcv1: A new benchmark collection fortext categorization research,1532, J
 Learning latent superstruc-tures in variational autoencoders for deep multidimensional clustering,2019, In ICLR
 Semi-supervised learning with penalized probabilistic clustering,2004, In NIPS
 Variational psom: Deep probabilisticclustering with self-organizing maps,2019, ArXiv
 A survey of clusteringwith deep learning: From the perspective of network architecture,2018, IEEEAccess
 Semi-superviseddeep embedded clustering,2019, Neurocomputing
 Stochastic backpropagation and approx-imate inference in deep generative models,2014, In ICML
 Computing gaussian mixture modelswith em using equivalence constraints,2003, In NIPS
 Semi-supervised clustering with neuralnetworks,2018, arXiv: Learning
 The potts model,1982, Rev
 Advances in variational inference,2019, IEEETransactions on Pattern Analysis and Machine Intelligence
 Fully automated echocar-diogram interpretation in clinical practice: Feasibility and diagnostic accuracy,2018, Circulation
