title,year,conference
 Unsuperviseddomain adaptation by domain invariant projection,2013, In Proceedings of the IEEE InternationalConference on Computer Vision
 A theory of learning from different domains,2010, Machine learning
 Imagenet: A large-scale hierarchical image database,2009, In 2009 IEEE conference on computer vision and patternrecognition
 Statistical estimation and optimal recovery,1994, The Annals of Statistics
 Domain adaptation for large-scale sentimentclassification: A deep learning approach,2011, In ICML
 Geodesic flow kernel for unsuperviseddomain adaptation,2012, In 2012 IEEE Conference on Computer Vision and Pattern Recognition
 Connecting the dots with landmarks: Discrimina-tively learning domain-invariant features for unsupervised domain adaptation,2013, In InternationalConference on Machine Learning
 Domain adaptation for object recognition:An unsupervised approach,2011, In 2011 international conference on computer vision
 On the value of target data in transfer learning,2019, In Advancesin Neural Information Processing Systems
 Gaussian estimation: Sequence and wavelet models,2011, Unpublished manuscript
 Understanding self-training for gradual domainadaptation,2020, arXiv preprint arXiv:2002
 Transfer featurelearning with joint distribution adaptation,2013, In Proceedings of the IEEE international conferenceon computer vision
 Deep transfer learning with jointadaptation networks,2017, In International conference on machine learning
 A survey on transfer learning,2009, IEEE Transactions on knowledgeand data engineering
 Domain adaptation via transfercomponent analysis,2010, IEEE Transactions on Neural Networks
 Distributionally robustneural networks for group shifts: On the importance of regularization for worst-case generaliza-tion,2019, arXiv preprint arXiv:1911
 Robustness to spurious correlations viahuman annotations,2020, arXiv preprint arXiv:2007
 When training and test sets are different: characterizing learning transfer,2009, Datasetshift in machine learning
 Flexible transfer learning under support and model shift,2014, InAdvances in Neural Information Processing Systems
 Active transfer learning under model shift,2014, InInternational Conference on Machine Learning
 Domain adaptation undertarget and conditional shift,2013, In International Conference on Machine Learning
 On learning invariantrepresentation for domain adaptation,2019, arXiv preprint arXiv:1901
