title,year,conference
 Metareg: Towards domain general-ization using meta-regularization,2018, In NeurIPS
 Analysis of representations fordomain adaptation,2007, In NeurIPS
 A theory of learning from different domains,2010, ML
 Generalizing from several related classificationtasks to a new unlabeled sample,2011, In NeurIPS
 Domaingeneralization by solving jigsaw puzzles,2019, In CVPR
 Domain adaptation for statistical classifiers,2006, JAIR
 Domain generalization with domain-specific aggregationmodules,2018, In GCPR
 Domain generalizationvia model-agnostic learning of semantic features,2019, In NeurIPS
 Learning to teach,2018, 2018
 Model-agnostic meta-learning for fast adaptation ofdeep networks,2017, In ICML
 Domain generalizationfor object recognition with multi-task autoencoders,2015, In ICCV
 Explaining and harnessing adversarialexamples,2015, In ICLR
 Spherical space domain adaptation with robust pseudo-labelloss,2020, In CVPR
 Deep residual learning for imagerecognition,2016, In CVPR
 CyCADA: Cycle-consistent adversarial domain adaptation,2018, In ICML
 Cor-recting sample selection bias by unlabeled data,2007, In NeurIPS
 Self-challenging improves cross-domaingeneralization,2020, In ECCV
 Learning multiple layers of features from tiny images,2009, 2009
 Imagenet classification with deep convolu-tional neural networks,2012, In NeurIPS
 Learning to generalize: Meta-learningfor domain generalization,2018, In AAAI
 Episodictraining for domain generalization,2019, In ICCV
 Domain generalization with adversarialfeature learning,2018, In CVPR
 Feature-critic networks forheterogeneous domain generalization,2019, In ICML
 Sphereface: Deephypersphere embedding for face recognition,2017, In CVPR
 Learning transferable features withdeep adaptation networks,2015, In ICML
 Visualizing data using t-sne,2008, JMLR
 Domain generalization using a mixture of multiple latentdomains,2020, In AAAI
 Domain generalization via invariantfeature representation,2013, In NeurIPS
 Reducing domaingap via style-agnostic networks,2019, arXiv preprint arXiv:1910
 A survey on transfer learning,2010, IEEE TKDE
 Efficient domain generalization via common-specific low-rank decomposition,2020, In ICML
 Learning to learn single domain generalization,2020, In CVPR
 Imagenet large scale visual recognitionchallenge,2015, IJCV
 Generalized convolutional forestnetworks for domain generalization and visual recognition,2020, In ICLR
 Semi-superviseddomain adaptation via minimax entropy,2019, In ICCV
 Generalizing across domains via cross-gradient training,2018, 2018
 Very deep convolutional networks for large-scale imagerecognition,2014, arXiv:1409
 Unbiased look at dataset bias,2011, In CVPR
 Generalizing to unseen domains via adversarial data augmentation,2018, In NeurIPS
 Cosface: Large margin cosine loss for deep face recognition,2018, In CVPR
 Learning robust representations byprojecting superficial statistics out,2019, In ICLR
 Learning from extrinsicand intrinsic supervisions for domain generalization,2020, In ECCV
 Deep domain-adversarialimage generation for domain generalisation,2020, In AAAI
