title,year,conference
 Hypergraph convolution and hypergraph attention,2019, ArXiv
 Residual gated graph convnets,2017, arXiv preprintarXiv:1711
 Fastgcn: fast learning with graph convolutional networks viaimportance sampling,2018, International Conference on Learning Representations
 Cluster-gcn: Anefficient algorithm for training deep and large graph convolutional networks,2019, 2019
 Topology adaptivegraph convolutional networks,2017, CoRR
 Understanding the difficulty of training deep feedforward neuralnetworks,2010, In Proceedings of the Thirteenth International Conference on Artificial Intelligenceand Statistics
 Semi-supervised classification with graph convolutional net-works,2017, In International Conference on Learning Representations
 Deeper insights into graph convolutional networks forsemi-supervised learning,2018, In Proceedings of the AAAI Conference on Artificial Intelligence
 Diffusion convolutional recurrent neural net-work: Data-driven traffic forecasting,2017, arXiv preprint arXiv:1707
 Geometric deep learning on graphs and manifolds using mixture model cnns,2017, InProceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Dropedge: Towards the very deep graphconvolutional networks for node classification,2019, 2019
 Modeling rela-tional data with graph convolutional networks,2018, In ESWC
 Pitfallsof graph neural network evaluation,2018, CoRR
 Dynamic edge-conditioned filters in convolutional neu-ral networks on graphs,2017, In Proceedings of the IEEE conference on computer vision and patternrecognition
 Attention-based graph neuralnetwork for semi-supervised learning,2018, CoRR
 Graph attention networks,2018, In International Conference on Learning Representations
 Deep graph infomax,2019, International Conference on Learning Representations
 Simplifying graph ConvolUtional networks,2019, International Conference on MachineLearning
 Session-based reC-ommendation with graph neUral networks,2019, In Proceedings of the AAAI Conference on ArtificialIntelligence
 Representation learning on graphs with jUmping knowledge networks,2018, arXiv preprintarXiv:1806
