title,year,conference
 Learning hyperedge replacement grammarsfor graph generation,2018, IEEE transactions on pattern analysis and machine intelligence
 Low data drug discoverywith one-shot learning,2017, ACS central science
 Bayesian reasoning and machine learning,2012, Cambridge University Press
 Retro*: learning retrosynthetic planningwith neural guided a* search,1608, In International Conference on Machine Learning
 Task-based learning via task-orientedprediction network with applications in finance,2019, arXiv preprint arXiv:1910
 Cogmol: target-specific andselective drug design for covid-19 using deep generative models,2020, Advances in Neural InformationProcessing Systems
 On certain formal properties of grammars,1959, Information and control
 Syntax-directed variational autoen-coder for structured data,2018, arXiv preprint arXiv:1802
 Task-based end-to-end model learning in stochasticoptimization,2017, arXiv preprint arXiv:1703
 Estimation of synthetic accessibility score of drug-likemolecules based on molecular complexity and fragment contributions,2009, Journal of cheminfor-matics
 A point set generation network for 3d object recon-struction from a single image,2017, In Proceedings of the IEEE conference on computer vision andpattern recognition
 Structure-mapping: A theoretical framework for analogy,1983, Cognitive science
 Automatic chemical design using a data-driven contin-uous representation of molecules,2018, ACS central science
 Polygrammar: Grammar for digital polymer representation and generation,2021, arXiv preprintarXiv:2105
 Towards interpretable graph modeling withvertex replacement grammars,2019, In 2019 IEEE International Conference on Big Data (Big Data)
 Opti-mizing molecules using efficient queries from property evaluations,2022, Nature Machine Intelligence
 Strategies for pre-training graph neural networks,2019, arXiv preprint arXiv:1905
 Junction tree variational autoencoder formolecular graph generation,2323, In International conference on machine learning
 Hierarchical generation of molecular graphsusing structural motifs,4839, In International Conference on Machine Learning
 Molecular hypergraph grammar with its application to molecular optimization,2019, InInternational Conference on Machine Learning
 Selfies: a robustrepresentation of semantically constrained graphs with an example application in chemistry,2019, arXivpreprint arXiv:1905
 Learning deep generativemodels of graphs,2018, arXiv preprint arXiv:1803
 Efficient graph generation with graph recurrentattention networks,2019, arXiv preprint arXiv:1910
 Constrained graph vari-ational autoencoders for molecule design,2018, arXiv preprint arXiv:1805
 Pi1m: a benchmark database for polymer informatics,2020, Journal ofChemical Information and Modeling
 Constrained generation of semantically valid graphs viaregularizing variational autoencoders,2018, arXiv preprint arXiv:1809
 Graphnvp: An invert-ible flow model for generating molecular graphs,2019, arXiv preprint arXiv:1905
 Molecular de-novodesign through deep reinforcement learning,2017, Journal Ofcheminformatics
 Quantumchemistry structures and properties of 134 kilo molecules,2014, Scientific data
 Extended-connectivity fingerprints,2010, Journal of chemical informa-tion and modeling
 Nevae: A deep generative model for molecular graphs,2020, Journalof machine learning research
 Opti-mizing distributions over molecular space,2017, an objective-reinforced generative adversarial networkfor inverse-design chemistry (organic)
 De novo molecular design by combining deep autoencoder recurrent neural networkswith generative topographic mapping,2019, Journal of chemical information and modeling
 Augmenting molecular deep generative models with topological data analysis rep-resentations,2021, arXiv preprint arXiv:2106
 Two decades under the influence of the rule of five and the changing properties ofapproved oral drugs: miniperspective,2018, Journal of medicinal chemistry
 Modeling graphs with vertex replacementgrammars,2019, In 2019 IEEE International Conference on Data Mining (ICDM)
 Fs-mol: A few-shot learning dataset ofmolecules,2021,2021
 Simple statistical gradient-following algorithms for connectionist reinforcementlearning,1992, Machine learning
 Deep learning for molecular generation,2019, Future medicinal chemistry
 Chemts: an efficientpython library for de novo molecular generation,2017, Science and technology of advanced materials
 Graph convolutional policynetwork for goal-directed molecular graph generation,2018, arXiv preprint arXiv:1806
