title,similarity_mean,similarity_std
-8sBpe7rDiV,tensor(10.4991),tensor(1.5548)
-AOEi-5VTU8,tensor(8.5479),tensor(nan)
-e4EXDWXnSn,tensor(9.6338),tensor(1.5999)
-Gk_IPJWvk,tensor(10.1146),tensor(1.8763)
-HSOjDPfhBJ,tensor(9.7968),tensor(1.3587)
-ngwPqanCEZ,tensor(10.1333),tensor(1.7398)
-TSe5o7STVR,tensor(9.6475),tensor(1.6062)
-w2oomO6qgc,tensor(10.2419),tensor(1.9181)
03RLpj-tc_,tensor(10.3158),tensor(1.4893)
06Wy2BtxXrz,tensor(9.8072),tensor(1.7260)
085y6YPaYjP,tensor(10.1725),tensor(1.5487)
0cgU-BZp2ky,tensor(9.9472),tensor(2.0062)
0DcZxeWfOPt,tensor(10.4064),tensor(1.7365)
0DLwqQLmqV,tensor(9.8119),tensor(1.5999)
0jP2n0YFmKG,tensor(10.5686),tensor(1.5652)
0JzqUlIVVDd,tensor(10.2757),tensor(1.8037)
0kPL3xO4R5,tensor(9.8379),tensor(1.4053)
0no8Motr-zO,tensor(10.5569),tensor(1.7746)
0rcbOaoBXbg,tensor(10.0607),tensor(1.4505)
0RqDp8FCW5Z,tensor(9.9087),tensor(1.2689)
0sgntlpKDOz,tensor(10.0482),tensor(1.3221)
0UXT6PpRpW,tensor(9.8622),tensor(1.7776)
12RoR2o32T,tensor(10.0381),tensor(1.6574)
14F3fI6MGxX,tensor(10.8181),tensor(1.8179)
18Ys0-PzyPI,tensor(9.6823),tensor(1.9623)
1NUsBU-7HAL,tensor(10.5040),tensor(2.0350)
1NvflqAdoom,tensor(9.9248),tensor(1.7030)
1ugNpm7W6E,tensor(10.8399),tensor(2.1239)
1W0z96MFEoH,tensor(9.6083),tensor(1.7013)
1wVvweK3oIb,tensor(10.1843),tensor(1.8414)
1zwleytEpYx,tensor(10.2544),tensor(1.5694)
2-mkiUs9Jx7,tensor(10.1102),tensor(1.9251)
25kzAhUB1lz,tensor(10.1671),tensor(1.9461)
