title,year,conference
 f-domain-adversarial learning: Theory and algo-rithms,2021, arXiv preprint arXiv:2106
 Domain-adversarial neuralnetworks,2014, arXiv preprint arXiv:1412
 Deep variational information bottleneck,2016, arXivpreprint arXiv:1612
 Regularized learning for domain adapta-tion under label shifts,2019, arXiv preprint arXiv:1903
 A theory oflearning from different domains,2010, Machine learning
 Random search for hyper-parameter optimization,2012, Journal of machinelearning research
 Introduction to statistical learning theory,2003, In SummerSchool on Machine Learning
 Learning bounds for importance weighting,2010, In Nips
 Domain-adversarial training of neural networks,2016, The journal of machine learningresearch
 Domain generalization for object recognitionwith multi-task autoencoders,2015, In Proceedings of the IEEE International Conference on ComputerVision
 In search of lost domain generalization,2020, arXiv preprintarXiv:2007
 Deep residual learning for image recognition,2016, In Proceedingsof the IEEE conference on computer vision and pattern recognition
 A database for handwritten text recognition research,1994, IEEE Transactions on PatternAnalysis and Machine Intelligence
 Support and invertibility in domain-invariant repre-sentations,2019, In The 22nd International Conference on Artificial Intelligence and Statistics
 Contrastive adaptation network for unsuperviseddomain adaptation,2019, In Proceedings of the IEEE/CVF Conference on Computer Vision and PatternRecognition
 Undoing the damage of datasetbias,2012, In European Conference on Computer Vision
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 Auto-encoding variational bayes,2013, arXiv preprint arXiv:1312
 On convergence and stability of gans,2017, arXiv preprintarXiv:1705
 Mnist handwritten digit database,2010, ATT Labs [Online]
 Domain generalization with adversarial feature learning,2018, InProceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Divergence measures and message passing,2005, Technical report
 Domain generalization via invariant feature represen-tation,2013, In International Conference on Machine Learning
 Reading digits in natural imageswith unsupervised feature learning,2011, 2011
 Domain invariant representation learning withdomain density transformations,2021, arXiv preprint arXiv:2102
 Adapting visual category models to new domains,2010, InEuropean conference on computer vision
 Wasserstein distance guided representation learning for domainadaptation,2018, In Proceedings of the AAAI Conference on Artificial Intelligence
 Deep coral: Correlation alignment for deep domain adaptation,2016, In Europeanconference on computer vision
 Domain-invariant representation learning for sim-to-real transfer,2020, arXiv preprintarXiv:2011
 Visualizing data using t-sne,2008, Journal of machine learningresearch
 Attention is all you need,2017, arXiv preprint arXiv:1706
 d-sne: Domain adaptationusing stochastic neighborhood embedding,2019, In Proceedings of the IEEE/CVF Conference on Com-puter Vision and Pattern Recognition
 On learning invariant representations fordomain adaptation,2019, In International Conference onMachine Learning
 Deep subdomainadaptation network for image classification,2020, IEEE transactions on neural networks and learningsystems
