title,year,conference
 Linguistic generalization and compositionality in modern artificial neural networks,2020, Philo-sophical Transactions of the Royal Society B: Biological Sciences
 The emergence of linguistic structure in an onlineiterated learning task,2017, Journal of Language Evolution
 Language evolution: A brief guide for linguists,2007, Lingua
 Does sociality drive the evolution of communicative complex-ity? a comparative test with ground-dwelling sciurid alarm calls,1997, The American Naturalist
 Miss tools and mr fruit: Emergent communication in agents learningabout object affordances,2019, In Proc
 Understanding Linguistic Evolution by Visualizing the Emergence of Topo-graphic Mappings,1064, Artificial Life
 Linguistic evolution through language acquisition,2002, Cambridge University Press
 Rate of language evolution isaffected by population size,2015, Proc
 Anti-efficient encoding inemergent communication,2019, In Proc
 Composi-tionality and generalization in emergent languages,2020, In Proc
 Multi-agent compositional communication learningfrom raw visual input,2018, In Proc
 Emergence of compositional languagewith deep generational transmission,2019, arXiv preprint arXiv:1904
 The cultural evolution of human communication systems in different sizedpopulations: usability trumps learnability,2013, PloS one
 To populate is to regulate,2019, arXiv preprint arXiv:1911
 Experimental semiotics: a review,2011, Frontiers in human neuroscience
 Language structure is partly determined by social structure,2010, PLoS ONE 5
 Emergent linguistic phenomena in multi-agent communi-cation games,2019, In Proc
 Long short-term memory,1997, Neural ComPutation
 The nicaraguan sign language Project: An overview,1994, SignPost
 Egg: a toolkit for research onemergence of language in games,2019, In Proc
 EntroPy minimization inemergent languages,2020, In Proc
 SPontaneous evolution of linguistic structure-an iterated learning model of the emergence ofregularity and irregularity,2001, IEEE Transactions on Evolutionary ComPutation
 The emergence of linguistic structure: An overview of the iterated learningmodel,2002, Simulating the evolution of language
 Cumulative cultural evolution in the laboratory: An exPeri-mental aPProach to the origins of structure in human language,2008, In Proc
 ComPression and communication in thecultural evolution of linguistic structure,2015, Cognition
 SkiP-thought vectors,2015, In Proc
 CRC standard Probability and statistics tables and formulae,2000, CrcPress
 Natural language does not emerge 'naturally' inmulti-agent dialog,2017, In Proc
 Emergent multi-agent communication in the deeP learning era,2020, arXivPrePrint arXiv:2006
 Emergence of linguistic commu-nication from referential games with symbolic and Pixel inPut,2018, In Proc
 Convention: A PhilosoPhical Study,1969, Wiley-Blackwell
 Ease-of-teaching and language structure from emergent communication,2019, InProc
 Countering language driftwith seeded iterated learning,2020, In Proc
 Coevolution of vocal communication and sociality in primates,2005, Biologyletters 
 The influence of community onlanguage structure: evidence from two young sign languages,2012, Linguistic Variation
 Social scale and structural complexity in human languages,2012, Philosophical Transactions of theRoyal Society B: Biological Sciences
 Larger communities create more systematic languages,2019, Proc
 Compositional structure can emerge without genera-tional transmission,10, Cognition
 The role of social network structure in the emergence of linguisticstructure,2020, Cognitive Science
 Compositional languages emergein a neural iterated learning model,2020, In Proc
 ¡°LazImpa¡±: Lazy and impatient neural agentslearn to communicate efficiently,2020, In Proc
 The emergence of grammar: Systematic structurein a new language,2005, Proceedings of the National Academy of Sciences
 Iterated learning: A framework for the emergence of lan-guage,2003, Artificial life
 The synthetic modeling of language origins,1997, Evolution of communication
 Policy gradient methods forreinforcement learning with function approximation,2000, In Proc
 Shaping represen-tations through communication: community size effect in artificial learning systems,2019, Visually GroundedInteraction and Language (ViGIL) Workshop
 Communication and structured correlation,2009, Erkenntnis
 Progress in the simulation of emer-gent communication and language,2003, Adaptive Behavior
 The consequences of talking to strangers: Evolutionary corollaries of socio-cultural influences on linguistic form,24, Lingua
 Emergence of compositional language in communicationthrough noisy channel,2020, In Language in Reinforcement Learning (LaReL)
