title,year,conference
 Minimax regret bounds for rein-forcement learning,2017, In International Conference on Machine Learning
 Query complexity of approximate nash equilibria,2016, Journal of the ACM (JACM)
 Query complexity of correlated equilibrium,2015, ACMTransactions on Economics and Computation (TEAC)
 Provable self-play algorithms for competitive reinforcement learning,2020, InInternational Conference on Machine Learning
 Near-optimal reinforcement learning with self-play,2020, Advances inNeural Information Processing Systems
 Sample-efficient learning of stackelberg equilibriain general-sum games,2021, arXiv preprint arXiv:2102
 Emergent tool use from multi-agent autocurricula,2019, arXiv preprint arXiv:1909
 Dota 2 with large scaledeep reinforcement learning,2019, arXiv preprint arXiv:1912
 From external to internal regret,2007, Journal of Machine LearningResearch
 No-regret learning dynamics forextensive-form correlated equilibrium,2020, arXiv preprint arXiv:2004
 Well-supported versus approximate nash equilibria: Querycomplexity of large games,2015, arXiv preprint arXiv:1511
 Almost optimal algorithms for tWo-player markovgames With linear function approximation,2021, arXiv preprint arXiv:2102
 Learning With bandit feedback inpotential games,2017, In Proceedings of the 31st International Conference on Neural InformationProcessing Systems
 Almost-linear-time algorithms for markov chains and neW spectral primitivesfor directed graphs,2017, In Proceedings of the 49th Annual ACM SIGACT Symposium on Theory ofComputing
 Sample complexity of episodic fixed-horizon reinforcementlearning,2015, arXiv preprint arXiv:1510
 On the complexity of approximating a nash equilibrium,2013, ACM TransactionsOnAlgorithms (TALG)
 Near-optimal no-regret learningin general games,2021, arXiv preprint arXiv:2108
 Episodic rein-forcement learning in finite mdps: Minimax lower bounds revisited,2021, In Algorithmic LearningTheory
 Simple uncoupled no-regretlearning dynamics for extensive-form correlated equilibrium,2021, arXiv preprint arXiv:2104
 Finding approximate nash equilibria of bimatrix games via payoffqueries,2016, ACM Transactions on Economics and Computation (TEAC)
 Learning equilibria of gamesvia payoff queries,2015, J
 Bounds for the query complexity of approximate equilibria,2016, ACMTransactions on Economics and Computation (TEAC)
 Error detecting and error correcting codes,1950, The Bell system technical journal
 Strategy iteration is stronglypolynomial for 2-player turn-based stochastic games With a constant discount factor,2013, Journal ofthe ACM (JACM)
 Adaptive heuristics,2005, Econometrica
 The query complexity of correlated equilibria,2018, Games and EconomicBehavior
 Nash q-learning for general-sum stochastic games,2003, Journal ofmachine learning research
 ToWards general function approxima-tion in zero-sum markov games,2021, arXiv preprint arXiv:2107
 A tight loWer bound and efficient reduction for sWap regret,2020, Advances in Neural InformationProcessing Systems
 The poWer of exploiter: Provable multi-agent rl in largestate spaces,2021, arXiv preprint arXiv:2106
 Multiplicative updates outperform genericno-regret learning in congestion games,2009, In Proceedings of the forty-first annual ACM symposiumon Theory of computing
 Bandit algorithms,2020, Cambridge University Press
 Global convergenceof multi-agent policy gradient in markov potential games,2021, arXiv preprint arXiv:2106
 Markov games as a framework for multi-agent reinforcement learning,1994, InMachine learning proceedings 1994
 Friend-or-foe q-learning in general-sum games,2001, In ICML
 A sharp analysis of model-based reinforcementlearning with self-play,2021, In International Conference on Machine Learning
 Multi-agent actor-critic for mixed cooperative-competitive environments,2017, arXiv preprint arXiv:1706
 Learning parametric closed-loop policiesfor markov potential games,2018, In International Conference on Learning Representations
 Non-cooperative games,1951, Annals of mathematics
 Learning nash equilibrium for general-sum markov games from batch data,2017, In Artificial Intelligence and Statistics
 Stochastic games,1953, Proceedings of the national academy of sciences
 Masteringthe game of go with deep neural networks and tree search,2016, nature
 Incomplete information and internal regret in prediction of individual sequences,2005, PhDthesis
 Fast convergence ofregularized learning in games,2015, arXiv preprint arXiv:1507
 Grandmaster level instarcraft ii using multi-agent reinforcement learning,2019, Nature
 Extensive-form correlated equilibrium: Definition andcomputational complexity,2008, Mathematics of Operations Research
 Learning zero-sum simultaneous-move markov games using function approximation and correlated equilibrium,2020, In Conference onLearning Theory
 Policy finetuning: Bridgingsample-efficient offline and online reinforcement learning,2021, arXiv preprint arXiv:2106
 Mean field multi-agent reinforcement learning,5571, In International Conference on Machine Learning
 Model-based multi-agent rl inzero-sum markov games with near-optimal sample complexity,2020, arXiv preprint arXiv:2007
 Gradient play in multi-agent markov stochastic games:Stationary points and convergence,2021, arXiv preprint arXiv:2106
 The ai economist: Improving equality and productivity with ai-driven taxpolicies,2020, arXiv preprint arXiv:2004
