title,year,conference
 Policy and valuetransfer in lifelong reinforcement learning,2018, In International Conference on Machine Learning
 Variational option discoveryalgorithms,2018, arXiv preprint arXiv:1807
 Successor features for transfer in reinforcement learning,2017, In Proceedings of the 31stInternational Conference on Neural Information Processing Systems
 Transfer in deep reinforcement learning usingsuccessor features and generalised policy improvement,2018, In International Conference on MachineLearning
 The option keyboard combiningskills in reinforcement learning,2019, In Proceedings of the 33rd International Conference on NeuralInformation Processing Systems
 Fast reinforcementlearning with generalized policy updates,2020, Proceedings of the National Academy of Sciences
 Universal successor features approximators,2018, In InternationalConference on Learning Representations
 Improving generalization for temporal difference learning: The successor representa-tion,1993, Neural Computation
 Diversity is all you need:Learning skills without a reward function,2018, In International Conference on Learning Representa-tions
 Probabilistic policy reuse in a reinforcement learningagent,2006, In Proceedings of the fifth international joint conference on Autonomous agents and mul-tiagent systems
 Variational intrinsic control,2016, arXivpreprint arXiv:1611
 Disentangled cumulants help successor representationstransfer to new tasks,2019, arXiv preprint arXiv:1911
 Fast task inference with variational intrinsic successor features,2019, In Interna-tional Conference on Learning Representations
 Eigenoption discovery through the deep successor representation,2018, In InternationalConference on Learning Representations
 Human-levelcontrol through deep reinforcement learning,2015, nature
 Policy caches with successor features,2021, In International Conferenceon Machine Learning
 Policyblocks: An algorithm for creating useful macro-actions inreinforcement learning,2002, In Proceedings of the Nineteenth International Conference on MachineLearning
 Mastering the game of gowithout human knowledge,2017, nature
 Reinforcement learning: An introduction,2018, MIT press
 A boolean task algebra for rein-forcement learning,2020, In Proceedings of the 34th International Conference on Neural InformationProcessing Systems
 Generalisation in lifelong reinforce-ment learning through logical composition,2022, In International Conference on Learning Represen-tations
 Composing value func-tions in reinforcement learning,2019, In International Conference on Machine Learning
 Grandmasterlevel in starcraft ii using multi-agent reinforcement learning,2019, Nature
 Discovering a set of policies for the worst case reward,2020, In InternationalConference on Learning Representations
 Discovering diverse nearly optimal policies with successor features,2021, arXivpreprint arXiv:2106
