title,year,conference
 Approximation and estimation bounds for artificial neural networks,1994, Machinelearning 
 Dunne Gitter Und deren Anwendung bei der adaptiven LosUng der dreidi-mensiOnalen POissOn-GleichUng,1992, Technische Universitat Munchen
 Sparse grids,2004, Acta nUmerica
 Symmetric iterative interpolation processes,1989, In COnstrUctiveapprOximatiOn
 Multilayer feedforward networks are uni-versal approximators,1989, NeUral netwOrks
 Risk bounds for high-dimensional ridge function com-binations including neural networks,2016, arXiv preprint arXiv:1607
 Approximation by combinations of relu and squaredrelu ridge functions with l1 and l0 controls,2018, IEEE TransactiOns On InfOrmatiOn TheOry
 Adaptive regression estimation with multilayer feedforwardneural networks,2005, NOnparametric Statistics
 Nonparametric regression based on hierarchical interactionmodels,2016, IEEE TransactiOns On InfOrmatiOn TheOry
 Analysis of the rate of convergence of least squares neuralnetwork regression estimates in case of measurement errors,2011, NeUral NetwOrks
 Approximate solution of integral equations,1959, DOklady Akademii NaUk SSSR
 Imagenet classification with deep convo-lutional neural networks,2017, COmmUnicatiOns Of the ACM
 Neural networks for optimal approximation of smooth and analytic func-tions,1996, NeUral cOmpUtatiOn
 Eignets for function approximation on manifolds,2010, Applied and COmpUta-tiOnal HarmOnic Analysis
 Learning functions: when is deep betterthan shallow,2016, arXiv preprint arXiv:1603
 Deep ReLU networks overcome the curse ofdimensionality for bandlimited functions,2019, arXiv preprint arXiv:1903
 Adaptive approximation and estimation of deep neuralnetwork with intrinsic dimensionality,2019, 2019
 Deterministic and stochastic error bounds in numerical analysis,2006, 2006
 Optimal approximation of piecewise smooth functionsusing deep ReLU neural networks,2018, Neural Networks
 Deep ReLU network approximation of functions on a manifold,2019, arXivpreprint arXiv:1908
 Masteringthe game of Go with deep neural networks and tree search,2016, Nature
 Quadrature and interpolation formulas for tensor products of certainclasses of functions,1963, In Doklady Akademii Nauk
 Adaptivity of deep ReLU network for learning in Besov and mixed smooth Besovspaces: optimal rate and curse of dimensionality,2018, arXiv preprint arXiv:1810
 Barron spaces and the compositional function spaces for neuralnetwork models,2019, arXiv preprint arXiv:1906
 Error bounds for approximations with deep ReLU networks,2017, Neural Networks
 Parallel algorithms for partial differential equations,1991, In Notes onNumerical Fluid Mechanics
 Sparse grids,1991, Parallel Algorithms for Partial Differential Equations
