title,year,conference
 Structured agents for physical construction,2019, In Proceedingsof the International Conference on Machine Learning (ICML)
 Demystifying MMDGANs,2018, arXiv preprint arXiv:1801
 Order matters: Proba-bilistic modeling of node sequence for graph generation,2021, In Marina Meila and Tong Zhang(eds
 Fast neighborhood subgraph pairWise distance kernel,9781, In Pro-ceedings ofthe 27th International Conference on International Conference on Machine Learning
 Scalable deep generative mod-eling for sparse graphs,2020, In Proceedings of the International Conference on Machine Learning(ICML)
 ImageNet: A large-scalehierarchical image database,2009, In Proceedings of the IEEE International Conference on ComputerVision and Pattern Recognition (CVPR)
 Distinguishing enzyme structures from non-enzymes Withoutalignments,2003, Journal of molecular biology
 Clustering by passing messages betWeen data points,2007, Science
 Large sample analysis of themedian heuristic,2018, arXiv preprint arXiv:1707
 Graphgen: A scalable approach to domain-agnostic labeled graph generation,2020, Proceedings of The Web Conference 2020
 A kernel method for the tWo-sample problem,2006, In Advances in Neural Information Pro-cessing Systems (NeurIPS)
 A kernel two-sample test,2012, Journal ofMachine Learning Research
 Optimal kernel choice for large-scale two-sampletests,2012, In Advances in Neural Information Processing Systems (NeurIPS)
 Strategies for pre-training graph neural networks,2020, In Proceedings of the InternationalConference on Learning Representations (ICLR)
 Multi-objective molecule generation usinginterpretable substructures,2020, In Proceedings of the International Conference on Machine Learning(ICML)
 A multivariate kolmogorov-smirnov test of goodness offit,1997, Statistics & Probability Letters
 Semi-supervised classification with graph convolutional net-works,2017, In Proceedings of the International Conference on Learning Representations (ICLR)
 GraphPiece: Efficiently generating high-quality molec-ular graph with substructures,2021, arXiv preprint arXiv:2106
 Improvedprecision and recall metric for assessing generative models,2019, In Proceedings of the InternationalConference on Machine Learning (ICML)
 Learning deep generativemodels of graphs,2018, arXiv preprint arXiv:1803
 Auto-regressive Graph Generation Modelingwith Improved Evaluation Methods,2019, In Advances in Neural Information Processing Systems(NeurIPS)
 Are GANs cre-ated equal? a large-scale study,2018, In Advances in Neural Information Processing Systems (NeurIPS)
 Inverse graphics GAN:Learning to generate 3D shapes from unstructured 2D data,2020, arXiv preprint arXiv:2002
 Tied kronecker product graph modelsto capture variance in network populations,2018, ACM Trans
 Re-liable fidelity and diversity metrics for generative models,2020, In Proceedings of the InternationalConference on Machine Learning (ICML)
 MolecularRNN: Generatingrealistic molecular graphs with optimized properties,2019, arXiv preprint arXiv:1905
 NeVAE: A deeP generative model for molecular graPhs,2020, Journalof Machine Learning Research
 Exact solutions to the nonlinear dy-namics of learning in deeP linear neural networks,2014, In Proceedings of the International Conferenceon Learning Representations (ICLR)
 Nonlinear component analysisas a kernel eigenvalue Problem,1998, Neural Computation
 Weisfeiler-Lehman graPh kernels,2011, Journal of Machine Learning Research
 GraKeL: A graPh kernel library in Python,2020, Journal of Machine LearningResearch
 Rethinkingthe inception architecture for computer vision,2016, In Proceedings of the IEEE International Confer-ence on Computer Vision and Pattern Recognition (CVPR)
 Building LEGO usingdeep generative models of graphs,2020, In NeurIPS Workshop on Machine Learning for EngineeringModeling
 Acomprehensive survey on graph neural networks,2020, IEEE transactions on neural networks andlearning systems
 GraphRNN: Gen-erating realistic graphs with deep auto-regressive models,2018, In Proceedings of the InternationalConference on Machine Learning (ICML)
 Design space for graph neural networks,2020, In Advancesin Neural Information Processing Systems (NeurIPS)
