title,year,conference
 Emergence of invariance and disentanglement in deep rep-resentations,2018, The Journal ofMachine Learning Research
 Data augmentation generative adversarialnetworks,2017, arXiv preprint arXiv:1711
 Computer-aided diagnosis of skin diseases using deep neural networks,2020, Applied Sciences
 Medical image harmo-nization using deep learning based canonical mapping: Toward robust and generalizable learningin imaging,2020, arXiv preprint arXiv:2010
 Recognition in terra incognita,2018, In Proceedings ofthe European conference on computer vision (ECCV)
 Learning invariances inneural networks,2020, arXiv preprint arXiv:2010
 Face recognition from one example view,1995, In Proceedings ofIEEE International Conference on Computer Vision
 Wild patterns: Ten years after the rise of adversarial machinelearning,2018, Pattern Recognition
 A systematic study of the class im-balance problem in convolutional neural networks,2018, Neural Networks
 Learning imbalanceddatasets with label-distribution-aware margin loss,2019, In Advances in Neural Information ProcessingSystems
 Smote: Synthetic minority over-sampling technique,2002, Journal of Artificial Intelligence Research (JAIR)
 Are self-driving carssecure? evasion attacks against deep neural networks for steering angle prediction,2019, In 2019 IEEESecurity and Privacy Workshops (SPW)
 Feature space augmentation for long-taileddata,2020, In Computer Vision-ECCV2020: 16th European Conference
 Deep learning for classical japanese literature,2018, CoRR
 Randaugment: Practical au-tomated data augmentation with a reduced search space,2019, arxiv e-prints
 Class-balanced loss based oneffective number of samples,2019, In Proceedings of the IEEE/CVF Conference on Computer Visionand Pattern Recognition (CVPR)
 Texture synthesis using convolutional neuralnetworks,2015, Advances in neural information processing systems
 A neural algorithm of artistic style,2015, arXivpreprint arXiv:1508
 Explaining and harnessing adversarialexamples,2014, arXiv preprint arXiv:1412
 Ms-celeb-1m: A datasetand benchmark for large-scale face recognition,2016, In Bastian Leibe
 Low-shot visual recognition by shrinking and hallucinatingfeatures,2016, corr
 Learning from imbalanced data,2009, IEEE Transactions on Knowl-edge and Data Engineering
 Deep residual learning for image recog-nition,2015, corr abs/1512
 The many faces of robustness: A criticalanalysis of out-of-distribution generalization,2020, arXiv preprint arXiv:2006
 Evaluating fairness metrics inthe presence of dataset bias,2018, arXiv preprint arXiv:1809
 The inaturalist species classifi-cation and detection dataset,2018, In 2018 IEEE Conference on Computer Vision and Pat-tern Recognition
 Learning deep representation for im-balanced classification,2016, In Proceedings of the IEEE Conference on Computer Vision and PatternRecognition (CVPR)
 Image-to-image translation withconditional adversarial networks,2016, arxiv (2016)
 Perceptual losses for real-time style transfer andsuper-resolution,2016, In European conference on computer vision
 Decoupling representation and classifier for long-tailed recognition,2020, In InternationalConference on Learning Representations
 Adam: A method for stochastic optimization,2014, arXiv preprintarXiv:1412
 WILDS: Abenchmark of in-the-wild distribution shifts,2021, In International Conference on Machine Learning(ICML)
 Learning multiple layers of features from tiny images,2009, MSc thesis
 An empir-ical evaluation of deep architectures on problems with many factors of variation,2007, In Proceedingsof the 24th international conference on Machine learning
 Tiny imagenet visual recognition challenge,2015, CS 231N
 Focal loss for denseobject detection,2017, 2017 IEEE International Conference on Computer Vision (ICCV)
 Large-scale long-tailed recognition in an open world,2019, In IEEE Conference on Computer Vision andPattern Recognition (CVPR)
 SGDR: stochastic gradient descent with warm restarts,2017, In 5thInternational Conference on Learning Representations
 When and how do cnns generalize to out-of-distribution category-vieWpoint combinations,2021, arXiv preprint arXiv:2007
 Incorporating prior information in machinelearning by creating virtual examples,1998, Proceedings of the IEEE
 Adversar-ial robustness with semi-infinite constrained learning,2021, Advances in Neural Information ProcessingSystems
 Model-based domain generalization,2021, Ad-vances in Neural Information Processing Systems
 Distributionally robustneural networks for group shifts: On the importance of regularization for worst-case generaliza-tion,2019, arXiv preprint arXiv:1911
 Man vs,2012, computer: Benchmarking ma-chine learning algorithms for traffic sign recognition
 The german traffic signrecognition benchmark: A multi-class classification competition,2011, In The 2011 International JointConference on Neural Networks
 EfficientNet: Rethinking model scaling for convolutional neural net-works,2019, In Kamalika Chaudhuri and Ruslan Salakhutdinov (eds
 Long-tailed classification by keeping the goodand removing the bad momentum causal effect,2020, arXiv preprint arXiv:2009
 Measuring robustness to natural distribution shifts in image classification,2020, arXiv preprintarXiv:2007
 YFCC100M: The new data in multimedia research,2016, Communica-tions of the ACM
 Learning to model the tail,2017, In Proceedingsof the 31st International Conference on Neural Information Processing Systems
 Low-shot learning fromimaginary data,2018, In Proceedings of the IEEE conference on computer vision and pattern recogni-tion
 Learning perturbation sets for robust machine learning,2020, arXiv preprintarXiv:2007
 Provable defenses against adversarial examples via the convex outeradversarial polytope,2018, In International Conference on Machine Learning
 Task representations in neural networks trained to perform many cognitive tasks,2019, Natureneuroscience
 Feature transfer learn-ing for deep face recognition with under-represented data,2018, arXiv preprint arXiv:1803
 Meta-learning symmetries by reparameterization,2021, InInternational Conference on Learning Representations
 Unpaired image-to-image translationusing cycle-consistent adversarial networks,2017, In Proceedings of the IEEE international conferenceon computer vision
