title,year,conference
 Metareg: Towards domain gen-eralization using meta-regularization,2018, In S
 A closerlook at few-shot classification,2019, In International Conference on Learning Representations
 Imagenet: A large-scale hierarchicalimage database,2009, In 2009 IEEE Conference on Computer Vision and Pattern Recognition
 Catastrophic forgetting in connectionist networks,1999, Trends in cognitive sciences
 Unsupervised domain adaptation by backpropagation,2015, InInternational conference on machine learning
 Bootstrap your own latent: A new approach to self-supervised learning,2020, arXiv preprintarXiv:2006
 Deep residual learning for image recog-nition,2016, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition(CVPR)
 Momentum contrast forunsupervised visual representation learning,2020, In Proceedings of the IEEE/CVF Conference onComputer Vision and Pattern Recognition
 Adam: A method for stochastic optimization,2015, In Proceedings ofInternational Conference on Learning Representations
 Overcom-ing catastrophic forgetting in neural networks,2017, Proceedings of the national academy of sciences
 3d object representations for fine-grainedcategorization,2013, In Proceedings of the IEEE International Conference on Computer Vision (ICCV)Workshops
 Domain generalization with adversarialfeature learning,2018, In 2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition
 Feature transfor-mation ensemble model with batch spectral regularization for cross-domain few-shot classifica-tion,2020, arXiv preprint arXiv:2005
 Learning transferable features withdeep adaptation networks,2015, In International conference on machine learning
 Unsupervised domain adaptationwith residual transfer networks,2016, arXiv preprint arXiv:1602
 Conditional adversarialdomain adaptation,2017, arXiv preprint arXiv:1705
 A simple neural attentive meta-learner,2018, In International Conference on Learning Representations
 Meta-learning for semi-supervised few-shot classifica-tion,2018, In International Conference on Learning Representations
 Few-shot learning with graph neural networks,2018, InInternational Conference on Learning Representations
 Mean teachers are better role models: Weight-averaged consis-tency targets improve semi-supervised deep learning results,2017, arXiv preprint arXiv:1703
 Cross-domain few-shotclassification via learned feature-wise transformation,2020, In International Conference on LearningRepresentations
 Deep domain confusion:Maximizing for domain invariance,2014, arXiv preprint arXiv:1412
 Adversarial discriminative domainadaptation,2017, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Match-ing networks for one shot learning,2016, In Proceedings of the 30th International Conference on NeuralInformation Processing Systems
 Cross-domain few-shot classification via adversarial task aug-mentation,2021, arXiv preprint arXiv:2104
 Caltech-UCSDBirds 200,2010, Technical Report CNS-TR-2010-001
 Places: A 10 million image databasefor scene recognition,2018, IEEE Transactions on Pattern Analysis and Machine Intelligence
