title,year,conference
 Continuous-domain signal reconstruction using l,2020,{p}-norm reg-ularization
 Class-balanced loss basedon effective number of samples,2019, In Proceedings of the IEEE/CVF conference on computer visionand pattern recognition
 Bert: Pre-training of deepbidirectional transformers for language understanding,2018, arXiv preprint arXiv:1810
 Class rectification hard mining for imbalanced deeplearning,2017, In Proceedings of the IEEE International Conference on Computer Vision
 Improving named entity recognition andclassification in class imbalanced swedish electronic patient records through resampling,2020, InEighth Swedish Language Technology Conference (SLTC)
 Meta-learning in neuralnetworks: A survey,2020, arXiv preprint arXiv:2004
 Learning DataManipulation for Augmentation and Weighting,2019, Curran Associates Inc
 Learning deep representation forimbalanced classification,2016, In Proceedings of the IEEE conference on computer vision and patternrecognition
 Mentornet: Learning data-driven curriculum for very deep neural networks on corrupted labels,2018, In International Conferenceon Machine Learning
 Logistic regression in rare events data,2001, Political analysis
 A comparative study of the class imbalance problem in twitter spamdetection,2018, Concurrency and Computation: Practice and Experience
 Exploring the limits of weakly supervisedpretraining,2018, In Proceedings of the European conference on computer vision (ECCV)
 Ensemble of exemplar-svms for objectdetection and beyond,2011, In 2011 International conference on computer vision
 Distributed represen-tations of words and phrases and their compositionality,2013, In Advances in neural information pro-cessing Systems
 Imbalance problems in objectdetection: A review,2020, IEEE transactions on pattern analysis and machine intelligence
 Learning to reweight examples forrobust deep learning,2018, In International Conference on Machine Learning
 Deepobs: A deep learning optimizer benchmarksuite,2019, arXiv preprint arXiv:1903
 Training region-based object detectorswith online hard example mining,2016, In Proceedings of the IEEE conference on computer vision andpattern recognition
 Recursive deep models for semantic compositionality over a sentimenttreebank,2013, In Proceedings of the 2013 conference on empirical methods in natural language pro-cessing
 Striving forsimplicity: The all convolutional net,2014, arXiv preprint arXiv:1412
 Two-phase deep convolutional neural networkfor reducing class skewness in histopathological images based breast cancer detection,2017, Computersin biology and medicine
 Learning to model the tail,2017, In Proceedingsof the 31st International Conference on Neural Information Processing Systems
 Learn like a pathologist:curriculum learning by annotator agreement for histopathology image classification,2021, In Proceed-ings of the IEEE/CVF Winter Conference on Applications of Computer Vision
 Class-boundary alignment for imbalanced dataset learning,2003, InICML 2003 workshop on learning from imbalanced data sets II
 Object detection in high-resolution remote sensingimages based on a hard-example-mining network,2020, IEEE Transactions on Geoscience and RemoteSensing
 Few-shot bearing fault diagnosis basedon model-agnostic meta-learning,2021, IEEE Transactions on Industry Applications
