title,year,conference
 An Analysis of Single-Layer Networks in Unsupervised FeatureLearning,2011, International Conference on Artificial Intelligence and Statistics
 Group Equivariant Convolutional Networks,2016, International Conference onMachine Learning
 Steerable CNNs,2017, International Conference on Learning Representations
 Gauge Equivariant ConvolutionalNetworks and the Icosahedral CNN,2019, International Conference on Machine Learning
 Improved Regularization of Convolutional Neural Networks withCutout,2017, arXiv:1708
 Generalizing convolutional neural networksfor equivariance to lie groups on arbitrary continuous data,2020, In ICML
 Gauge Equivariant Mesh CNNs: Anisotropicconvolutions on geometric graphs,2021, International Conference on Learning Representations
 Adam: A method for stochastic optimization,2015, International Conference onLearning Representations
 An empirical evaluationof deep architectures on problems with many factors of variation,2007, International Conference on MachineLearning
 Diffusion is All You Need for Learningon Surfaces,2020, arXiv:2012
 PDO-eConvs: Partial Differential OperatorBased Equivariant Convolutions,2020, International Conference on Machine Learning
 PDE-based Group Equivariant Convolutional NeuralNetworks,2020, arXiv:2001
 3D Steerable CNNs: LearningRotationally Equivariant Features in Volumetric Data,2018, Advances in Neural Information Processing Systems
 Learning Steerable Filters for Rotation EquivariantCNNs,2018, IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
 Wide Residual Networks,2016, British Machine Vision Conference (BMVC)
