title,year,conference
 Bayesian online changepoint detection,2007, arXiv preprintarXiv:0710
 Neuronlike adaptive elements that cansolve difficult learning control problems,1983, IEEE transactions on systems
 Stream-ing variational bayes,2013, In Advances in Neural Information Processing Systems
 Handbook of Markov Chain MonteCarlo,2011, CRC press
 Statistical inference,2021, Cengage Learning
 A tutorial on particle filtering and smoothing: Fifteen yearslater,2009, Handbook of nonlinear filtering
 Adver-sarial continual learning,2020, arXiv preprint arXiv:2003
 Generative temporal models with memory,2017, arXiv preprintarXiv:1702
 Sandwiching the marginal likelihoodusing bidirectional monte carlo,2015, arXiv preprint arXiv:1511
 Adaptive filter theory,2008, Pearson Education India
 A biometrics invited paper,1976, the analysis and selection of variables in linearregression
 The power prior: theory andapplications,2015, Statistics in medicine
 Spatial transformernetworks,2015, In Advances in Neural Information Processing Systems
 Probability theory: The logic of science,2003, Cambridge university press
 New extension of the kalman filter to nonlinear systems,1997, InSignal processing
 A new approach to linear filtering and prediction problems,1960, Transactions ofthe ASME-JournaI of Basic Engineering
 Con-tinual learning with bayesian neural networks for non-stationary data,2020, In International Conferenceon Learning Representations
 Detecting and adaPting to irregulardistribution shifts in bayesian online learning,2021, Advances in Neural Information Processing Systems
 Product kanerva machines: Factorized bayesianmemory,2020, arXiv preprint arXiv:2002
 Thompson sampling in switching environments with bayesianonline change detection,2013, In Artificial Intelligence and Statistics
 The hierarchical adaptive forgetting variational filter,2018, In International Conference onMachine Learning
 Learning and forgetting using reinforced bayesian changedetection,2019, PLoS computational biology
 Sleeping beauty and the forgetful bayesian,2002, Analysis
 Sampling from multimodal distributions using tempered transitions,1996, Statistics andcomputing
 Annealed importance sampling,2001, Statistics and computing
 Randomized prior functions for deep reinforcementlearning,2018, Advances in Neural Information Processing Systems
 Random features for large-scale kernel machines,2007, Advances inNeural Information Processing Systems
 Dynamic bayesian neural networks,2020, arXiv preprintarXiv:2004
 Monte Carlo statistical methods,2004, Springer
 Bayesianfiltering and smoothing,2013, Cambridge University Press
 Reinforcement learning: An introduction,2018, MIT press
 On the likelihood that one unknown probability exceeds another in view ofthe evidence of two samples,1933, Biometrika
 Bayesian and frequentist regression methods,2013, Springer Science & Business Media
 Robust probabilistic modeling with bayesian datareweighting,2017, In International Conference on Machine Learning
 Information theoretic mpc for model-based reinforcement learning,2017, In2017 IEEE International Conference on Robotics and Automation (ICRA)
 The assessment of prior distributions in bayesian analysis,1967, Journal of the AmericanStatistical association
 Harmonicnetworks: Deep translation and rotation equivariance,2017, IEEE Conference on Computer Vision andPattern Recognition
 The kanerva machine: A generativedistributed memory,2018, International Conference on Learning Representations
 Deep reinforcement learning amidst lifelong non-stationarity,2020, arXiv preprint arXiv:2006
 Side-tuning: abaseline for network adaptation via additive side networks,2020, In European Conference on ComputerVision
