title,year,conference
 Adversarial transformation networks: Learning to generate adver-sarial examples,2017, CoRR
 Decision-based adversarial attacks: Reliableattacks against black-box machine learning models,2018, In ICLR
 Towards evaluating the robustness of neural networks,2017, InSymposium on Security and Privacy
 Ensemble selection fromlibraries of models,2004, In ICML
 Hopskipjumpattack: A query-efficientdecision-based attack,2020, In SP
 Destruction and construction learning for fine-grained image recognition,2019, In CVPR
 An analysis of single-layer networks in unsu-pervised feature learning,2011, In Geoffrey J
 Boost-ing adversarial attacks with momentum,2018, In CVPR
 Patch-wise attack forfooling deep neural network,2020, In ECCV
 Patch-wise++ perturbation foradversarial targeted attacks,2020, CoRR
 Feature space targeted attacksby statistic alignment,2021, In IJCAI
 Explaining and harnessing adversarialexamples,2015, In Yoshua Bengio and Yann LeCun (eds
 Deep residual learning for image recog-nition,2016, In CVPR
 Squeeze-and-excitation networks,2018, In CVPR
 Densely connectedconvolutional networks,2017, In CVPR
 Feature space perturbations yieldmore transferable adversarial examples,2019, In CVPR
 Perturbing across the feature hierarchy to improve standard and strict blackbox attacktransferability,2020, In Hugo Larochelle
 Adam: A method for stochastic optimization,2015, In ICLR
 Collecting a large-scale dataset of fine-grained cars,2013, 2013
 Learning multiple layers of features from tiny images,2009, 2009
 Imagenet classification with deep convo-lutional neural networks,2012, In NeurPIS
 Adversarial machine learning at scale,2017, InICLR
 Delving into transferable adversarial exam-ples and black-box attacks,2017, In ICLR
 Practicalevaluation of adversarial robustness via adaptive auto attack,2022, In CVPR
 Enhancing cross-task black-box transferability of adversarial examples with dispersionreduction,2020, In CVPR
 Fine-grainedvisual classification of aircraft,2013, volume abs/1306
 Composite adver-sarial attacks,2021, In AAAI
 Deepfool: A simple andaccurate method to fool deep neural networks,2016, In CVPR
 NAG: network foradversary generation,2018, In CVPR
 Cross-domain transferability of adversarial perturbations,2019, In NeurPIS
 Aself-supervised approach for adversarial robustness,2020, In CVPR
 Readingdigits in natural images with unsupervised feature learning,2011, 2011
 Transferability in machine learning:from phenomena to black-box attacks using adversarial samples,2016, CoRR
 Generative adversarial per-turbations,2018, In CVPR
 Imagenet large scale visual recognition challenge,2015, IJCV
 Accessorize to a crime:Real and stealthy attacks on state-of-the-art face recognition,2016, In SIGSAC
 Very deep convolutional networks for large-scale imagerecognition,2015, In Yoshua Bengio and Yann LeCun (eds
 Intriguing properties of neural networks,2014, In Yoshua Bengio and YannLeCun (eds
 Re-thinking the inception architecture for computer vision,2016, In CVPR
 Grafit:Learning fine-grained image representations with coarse labels,2021, In Proceedings of the IEEE/CVFInternational Conference on Computer Vision
 Admix: Enhancing the transferability ofadversarial attacks,2021, In ICCV
 Chestx-ray8: Hospital-scale chest x-ray database and benchmarks on weakly-supervisedclassification and localization of common thorax diseases,2017, In CVPR
 Skip connections matter:On the transferability of adversarial examples generated with resnets,2020, In ICLR
 Adversarial t-shirt! evading person detectors in a physical world,2020, InAndrea Vedaldi
 On success and simplicity: A second look attransferable targeted attacks,2020, CoRR
