title,year,conference
 Hints and the VC Dimension,1993, Neural Computation
 Cormorant: Covariant molecular neuralnetworks,2019, In H
 Accurate prediction of protein structures and interactions using a three-track neural network,2021, Science
 On the capabilities of multilayer perceptrons,1988, J
 Lorentzgroup equivariant neural network for particle physics,2020, In International Conference on MachineLearning
 Efficient associative memorystorage in cortical circuits of inhibitory and excitatory neurons,2012, Proceedings of the NationalAcademy of Sciences
 A group-theoretic framework for data augmen-tation,2020, In H
 Classification and Geometry of GeneralPerceptual Manifolds,2018, Physical Review X
 Group equivariant convolutional networks,2016, In ICML
 Spherical cnns,2018, ArXiv
 Gauge equivariant convolu-tional networks and the icosahedral cnn,2019, In ICML
 A general theory of equivariant CNNs on ho-mogeneous spaces,2019, In H
 Separability and geometry ofobject manifolds in deep neural networks,2020, Nature Communications
 Geometrical and statistical properties of systems of linear inequalities with applications inpattern recognition,1965, IEEE Trans
 Untangling invariant object recognition,2007, Trends in cognitivesciences
 Arotation-equivariant convolutional neural network model of primary visual cortex,2018, arXiv PrePrintarXiv:1809
 Generalizing convo-lutional neural networks for equivariance to lie groups on arbitrary continuous data,2020, In ICML
 A practical method for constructing equiv-ariant multilayer perceptrons for arbitrary matrix groups,2021, ArXiv
 Object manifold geometry across the mousecortical visual hierarchy,2020, bioRxiv
 Maximum storage capacity in neural networks,1987, EPL
 The space of interactions in neural network models,1988, Journal of Physics A
 Permutation equivari-ant models for compositional generalization in language,2020, In ICLR
 Microstruc-ture of a spatial map in the entorhinal cortex,1476, Nature
 Deep modelsof interactions across sets,2018, In ICML
 Learning capability and storage capacity of two-hidden-layer feedforward net-works,2003, IEEE transactions on neural networks
 Universal invariant and equivariant graph neural net-works,2019, In H
 Directional message passing for molec-ular graphs,2020, ArXiv
 On the generalization of equivariance and convolution in neuralnetworks to the action of compact groups,2018, In ICML
 Clebsch-gordan nets: a fully fourier space sphericalconvolutional neural network,2018, In NeurIPS
 Covariantcompositional networks for learning graphs,2018, ArXiv
 Estimates of storage capacity of multilayer perceptron with threshold logic hiddenunits,1997, Neural networks : the official journal of the International Neural Network Society
 Learning multiple layers of features from tiny images,2009, Technical report
 Cere-bellar granule cell axons support high-dimensional representations,1546, Nature Neuroscience
 Backpropagation applied to handwritten zip coderecognition,1989, Neural Computation
 Primer for Point and Space Groups,9780, Undergraduate Texts in ContemporaryPhysics
 Onthe benefits of invariance in neural networks,2020, ArXiv
 Scale equivariance in cnnswith vector fields,2018, ArXiv
 Invariant and equivariant graphnetworks,2019, ArXiv
 On the universality of invari-ant networks,2019, In Proceedings of the 36th International Conference on Machine Learning
 Statistical learning theory ofstructured data,2020, Physical Review E: Statistical Physics
 Resource-efficient perceptron has sparse synapticweight distribution,2017, 2017 25th Signal Processing and Communications Applications Conference(SIU)
 Universal equivariant multilayer perceptrons,2020, In Hal DaUme In and AartiSingh (eds
 The importance of mixed selectivity in complex cognitive tasks,2013, Nature
 Counting the learnable func-tions of geometrically structured data,2020, Physical Review Research
 On universal equivariant set netWorks,2020, ArXiv
 The manifold Ways of perception,2000, science
 Threshold netWork learning in the presence of equivalences,1991, In NIPS
 Rigorous Solution of the Gardner Problem,1432, Com-munications in Mathematical Physics
 Learning irreducible representations of noncommutative liegroups,2020, ArXiv
 Very deep convolutional networks for large-scale imagerecognition,2015, CoRR
 Pde-based group equivariant convo-lutional neural networks,2020, ArXiv
 Generalization Error of In-variant Classifiers,2017, In Aarti Singh and Jerry Zhu (eds
 Scale equivariance improves siamese tracking,2021, 2021IEEE Winter Conference on Applications of Computer Vision (WACV)
 Grid cells generate an analog error-correcting code for singularlyprecise neural computation,1546, Nature Neuroscience
 Geometric deep learning of rna structure,2021, Science
 On the uniform convergence of relative frequen-cies of events to their probabilities,1968, Dokl
 Rotation equiv-ariant cnns for digital pathology,2018, ArXiv
 Memory capacity of neural networks with threshold and rectified linear unitactivations,2020, SIAM J
 3d steerable cnns:Learning rotationally equivariant features in volumetric data,2018, In NeurIPS
 Learning steerable filters for rotationequivariant cnns,2018, 2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition
 Coordinate independent ConvolU-tional networks - isometry and gauge equivariant convolutions on riemannian manifolds,2021, ArXiv
 A problem in geometric probability,1962, Mathematica Scandinavica
 Gruppentheorie Und Ihre Anwendung Auf Die Quantenmechanik Der Atomspek-tren,1931, Vieweg+Teubner Verlag
 Cubenet: Equivariance to 3d rotation and translation,2018, InECCV
 Deep scale-spaces: Equivariance over scale,2019, ArXiv
 Harmonicnetworks: Deep translation and rotation equivariance,2017, 2017 IEEE Conference on Computer Visionand Pattern Recognition (CVPR)
 Universal approximations of invariant maps by neural networks,2018, ArXiv
 Small relu networks are powerful memorizers: a tightanalysis of memorization capacity,2019, In NeurIPS
 Deep sets,2017, In NIPS
