title,year,conference
 Vpe: Variational policy embedding for transferreinforcement learning,2019, In 2019 International Conference on Robotics and Automation (ICRA)
 Batch learning in stochastic dual dynamicprogramming,2021, submitted
 Orl:Reinforcement learning benchmarks for online stochastic optimization problems,2019, arXiv preprintarXiv:1911
 Actor based simulation for closed loop control of supply chain usingreinforcement learning,2019, In Proceedings of the 18th International Conference on AutonomousAgents and MultiAgent Systems
 Random-ized progressive hedging methods for multi-stage stochastic programming,2020, Annals of OperationsResearch
 Dynamic Programming,1957, Princeton University Press
 From predictive to prescriptive analytics,2020, ManagementScience
 Introduction to stochastic programming,2011, Springer Science &Business Media
 Learning to plan in highdimensions via neural exploration-exploitation trees,2019, In International Conference on LearningRepresentations
 Multistage stochastic programming: A scenariotree based approach to planning under uncertainty,2012, In Decision theory models for applications inartificial intelligence: concepts and solutions
 Stochastic dual dynamic programming - a review,2021,2021
 Strategic inventory placement in supply chains: Nonstationarydemand,2008, Manufacturing & service operations management
 Soft actor-critic: Off-policymaximum entropy deep reinforcement learning with a stochastic actor,2018, In International Conferenceon Machine Learning
 Online stochastic combinatorial optimization,2006, The MITPress
 Financial scenario generation for stochastic multi-stagedecision processes as facility location problems,2007, Annals of Operations Research
 A heuristic for moment-matching scenariogeneration,2003, Computational optimization and applications
 The value of multistage stochastic programming in capacity planningunder uncertainty,2009, Operations Research
 Learning combinatorialoptimization algorithms over graphs,2017, In NIPS
 Iterative kernel principal component analysis for imagemodeling,2005, IEEE Transactions on Pattern Analysis and Machine Intelligence
 Complexity of stochastic dual dynamic programming,2020, Mathematical Programming
 Dynamic stochastic approximation for multi-stage stochasticoptimization,2020, Mathematical Programming
 Meta reinforcement learning with taskembedding and shared policy,2019, arXiv preprint arXiv:1905
 Continuous control with deep reinforcement learning,2016, In ICLR
 Gradient algorithms for principal component analysis,1996, TheANZIAM Journal
 Playing atari with deep reinforcement learning,2013, arXiv preprintarXiv:1312
 Dynamic inventory allocation with demandlearning for seasonal goods,2021, Production and Operations Management
 Numerical optimization,2006, Springer Science & Business Media
 Applying deep learning to thenewsvendor problem,2020, IISE Transactions
 Multi-stage stochastic optimization applied toenergy planning,1991, Mathematical Programming
 Computational optimal transport: With applications to datascience,2019, Foundations and Trends® in Machine Learning
 Quantitative stability in stochastic programming: Themethod of probability metrics,2002, Mathematics of Operations Research
 Efficient off-policymeta-reinforcement learning via probabilistic context variables,2019, In International conference onmachine learning
 Scenarios and policy aggregation in optimization underuncertainty,1991, Mathematics of operations research
 Optimal unsupervised learning in a single-layer linear feedforward network,1989, NeuralNetworks
 Optimizing expectations: From deep reinforcement learning to stochastic computa-tion graphs,2016, PhD thesis
 Proximal policyoptimization algorithms,2017, arXiv preprint arXiv:1707
 On complexity of multistage stochastic programs,2006, Operations Research Letters
 On complexity of stochastic programming problems,2005, InContinuous optimization
 Lectures on stochastic Program-ming: modeling and theory,2014, SIAM
 Reinforcement learning: An introduction,2018, MIT press
 Attention is all you need,2017, arXiv preprint arXiv:1706
 Scale up nonlinear component analysis with doubly stochasticgradients,2015, CoRR
