title,year,conference
 Iterative refinement for lp-norm regression,2019, In Proceedings of the Thirtieth Annual ACM-SIAM Symposium on DiscreteAlgorithms
 Near optimal linear algebra in the online and slidingwindow models,2020, In 61st IEEE Annual Symposium on Foundations of Computer Science
 Adversarial robustness of streaming algorithms through importance sampling,2021, CoRR
 Query complexity of least absolute deviation regression via robustuniform convergence,2021, In Conference on Learning Theory
 Streaming coresets forsymmetric tensor factorization,2013, In Proceedings of the 37th International Conference on MachineLearning
 lp row sampling by lewis weights,2015, In Proceedings of theForty-Seventh Annual ACM on Symposium on Theory of Computing
 Leveraging well-conditioned bases:Streaming and distributed summaries in minkowski p-norms,2018, In Proceedings of the 35th Interna-tional Conference on Machine Learning
 Samplingalgorithms and coresets for lp regression,2008, In Proceedings of the Nineteenth Annual ACM-SIAMSymposium on Discrete Algorithms
 l1 regression using lewis weights preconditioningand stochastic gradient descent,2018, In Conference On Learning Theory
 Sample efficient toeplitz co-variance estimation,2020, In Proceedings of the 2020 ACM-SIAM Symposium on Discrete Algorithms
 Computing lewis weights tohigh precision,2021, CoRR
 15Jerrad Hampton and Alireza Doostan,2008, Coherence motivated sampling and convergence analysisof least squares polynomial chaos regression
 Robust polynomial regression up to the informationtheoretic limit,2017, In 58th IEEE Annual Symposium on Foundations of Computer Science
 Low-distortion subspace embeddings in input-sparsitytime and applications to robust linear regression,2021, In Symposium on Theory of Computing Confer-ence
 Active sampling forlinear regression beyond the l2 norm,2021, CoRR
 OSNAP: faster numerical linear algebra algorithms via sparsersubspace embeddings,2004, In 54th Annual IEEE Symposium on Foundations of Computer Science
 Direct least-squares fitting of algebraic surfaces,1987, ACM SIGGRAPH computer graph-ics
 A two-prongedprogress in structured dense matrix vector multiplication,2018, In Proceedings of the Twenty-NinthAnnual ACM-SIAM Symposium on Discrete Algorithms
