title,year,conference
 Noisy tensor completion via the sum-of-squares hierarchy,2016, InConference on Learning Theory
 A model of inductive bias learning,2000, Journal of Artificial Intelligence Research
 An application of information theory and error-correcting codes tofractional factorial experiments,2001, Journal of Statistical Planning and Inference
 Zero-shot domain adaptation: A multi-viewapproach,2009, Tech
 Exact matrix completion via convex optimization,2009, Foun-dations of Computational mathematics
 AutoAugment:Learning augmentation strategies from data,2019, In Proceedings of the IEEE/CVF Conference onComputer Vision and Pattern Recognition
 Combatting out-of-distribution errors usingmodel-agnostic meta-learning for digital pathology,2021, In Medical Imaging 2021: Digital Pathology
 Most tensor problems are np-hard,2013, Journal of the ACM(JACM)
 First field trial of distributed fiberoptical sensing and high-speed communication over an operational telecom network,2019, Journal ofLightwave Technology
 Feature-critic networks for heteroge-neous domain generalization,3915, In International Conference on Machine Learning
 Tensor completion made practical,2020, arXiv preprint arXiv:2006
 The benefit of multitaskrepresentation learning,2016, Journal of Machine Learning Research
 A comparison of three methods forselecting values of input variables in the analysis of output from a computer code,2000, Technometrics
 A simpler approach to matrix completion,2011, Journal of Machine Learning Research
 Mul-tilinear multitask learning,1444, In International Conference on Machine Learning
 Gradient matching for domain generalization,2021, arXiv preprint arXiv:2104
 Learning tensors in reproducingkernel Hilbert spaces with multilinear spectral penalties,2013, arXiv preprint arXiv:1310
 Generalization error bounds for collaborativeprediction with low-rank matrices,2004, In Advances in Neural Information Processing Systems
 On the theory of transfer learning: The impor-tance of task diversity,2020, arXiv preprint arXiv:2006
 Multitask learning meets tensor fac-torization: task imputation via convex optimization,2014, Advances in neural information processingsystems
 Differential angular imaging for materialrecognition,2017, In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition
 Deep multi-task representation learning: A tensor factori-sation approach,2017, In International Conference on Learning Representations
 A unified perspective on multi-domain and multi-tasklearning,2014, arXiv preprint arXiv:1412
