title,year,conference
 PN-Net: Conjoined TripleDeep Network for Learning Local Image Descriptors,2016, In arXiv Preprint
 Learning Local FeatureDescriptors with Triplets and Shallow Convolutional Neural Networks,2016, In British Machine VisionConference
 HPatches: A Benchmarkand Evaluation of Handcrafted and Learned Local Descriptors,2017, In Conference on Computer Visionand Pattern Recognition
 Graph-Cut RANSAC,2018, In Conference on Computer Vision and PatternRecognition
 MAGSAC: Marginalizing Sample Consensus,2019, InConference on Computer Vision and Pattern Recognition
 Visual Reconstruction,1987, MIT press
 Neural-Guided RANSAC: Learning Where to Sample ModelHypotheses,2019, In International Conference on Computer Vision
 Extreme Rotation Estima-tion using Dense Correlation Volumes,2021, In IEEE/CVF Conference on Computer Vision and PatternRecognition (CVPR)
 Emerging Properties in Self-Supervised Vision Transformers,2021, In arXiv Preprint
 Wide-baseline relative camera pose estimationwith directional learning,2021, In CVPR
 Universal Corre-spondence Network,2016, In Advances in Neural Information Processing Systems
 High-DimensionalConvolutional Networks for Geometric Pattern Recognition,2020, In Conference on Computer Visionand Pattern Recognition
 Locally Optimized RANSAC,2003, In DAGM Symposium onPattern Recognition
 Two-View Geometry Estimation Unaffected by aDominant Plane,2005, In Conference on Computer Vision and Pattern Recognition
 On the Relationship Between Self-Attention and Convolutional Layers,2020, In arXiv Preprint
 From Handcrafted to Deep Local Invariant Features,2018, InComputing Research Repository
 Scannet: Richly-annotated 3d reconstructions of indoor scenes,2017, In Proc
 SuperPoint: Self-Supervised InterestPoint Detection and Description,2018, In Conference on Computer Vision and Pattern Recognition
 Random Sample Consensus: A Paradigm for Model Fittingwith Applications to Image Analysis and Automated Cartography,1981, In Association for ComputingMachinery
 Evaluation of Interest Point Detectors andFeature Descriptors for Visual Tracking,2011, International Journal of Computer Vision
 S2DNet: Learning Image Features forAccurate Sparse-to-Dense Matching,2020, In European Conference on Computer Vision
 Neural Reprojection Error: MergingFeature Learning and Camera Pose Estimation,2021, In Conference on Computer Vision and PatternRecognition
 Deep Image Retrieval: LearningGlobal Representations for Image Search,2016, In European Conference on Computer Vision
 Planar surface reconstruction fromsparse views,2021, ArXiv
 Transformers AreRNNs: Fast Autoregressive Transformers with Linear Attention,2020, In International Conference onMachine Learning
 Decoupled weight decay regularization,2019, In ICLR
 Distinctive Image Features from Scale-Invariant Keypoints,2004, International Journal ofComputer Vision
 Working Hard to KnowYour Neighbor’s Margins: Local Descriptor Learning Loss,2017, In Advances in Neural InformationProcessing Systems
 Learn-ing to Find Good CorresPondences,2018, In Conference on Computer Vision and Pattern Recognition
 Indoor segmentation and suPPortinference from rgbd images,2012, In ECCV
 Automatic Differentiation in Pytorch,2017, In Advances in Neural Information ProcessingSystems
 Associative3d: Volumetric reconstruction from sParseviews,2020, In ECCV
 CNN Image Retrieval Learns from BoW:UnsuPervised Fine-Tuning with Hard ExamPles,2016, In European Conference on Computer Vision
 Stand-Alone Self-Attention In Vision Models,2019, In Advances in Neural InformationProcessing Systems
 R2D2: Reliableand Repeatable Detector and Descriptor,2019, In Advances in Neural Information Processing Systems
 Efficient Neighbourhood Consensus Networksvia Submanifold Sparse Convolutions,2020, In European Conference on Computer Vision
 Recent Advances in Features Extraction and DescriptionAlgorithms: A Comprehensive Survey,2017, In 2017 IEEE International Conference on IndustrialTechnology (ICIT)
 From Coarse to Fine: Robust Hier-archical Localization at Large Scale,2019, In Conference on Computer Vision and Pattern Recognition
 SuperGlue:Learning Feature Matching with Graph Neural Networks,2020, In Conference on Computer Vision andPattern Recognition
 Benchmarking 6DOFOutdoor Visual Localization in Changing Conditions,2018, In Conference on Computer Vision andPattern Recognition
 Structure-From-Motion Revisited,2016, In Conference on ComputerVision and Pattern Recognition
 A multi-view stereo benchmark with high-resolution images andmulti-camera videos,2017, In Conference on Computer Vision and Pattern Recognition (CVPR)
 FaceNet: A Unified Embedding for FaceRecognition and Clustering,2015, In Computing Research Repository
 Learning Local Feature Descriptors UsingConvex Optimisation,2014, IEEE Transactions on Pattern Analysis and Machine Intelligence
 LoFTR: Detector-FreeLocal Feature Matching with Transformers,2021, In Conference on Computer Vision and PatternRecognition
 ACNe: AttentiveContext Normalization for Robust Permutation-Equivariant Learning,2020, In Conference on ComputerVision and Pattern Recognition
 MLESAC: A New Robust Estimator with Application toEstimating Image Geometry,2000, Computer Vision and Image Understanding
 Attention Is All You Need,2017, In arXiv Preprint
 Learning feature descriptorsusing camera pose supervision,2020, ArXiv
 Extreme relative pose network under hybridrepresentations,2020, 2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)
 LIFT: Learned Invariant FeatureTransform,2016, In European Conference on Computer Vision
 Learning Two-View Correspondences and Geometry Using Order-AwareNetwork,2019, In International Conference on Computer Vision
 Patch2pix: Epipolar-guided pixel-level corre-spondences,2021, 2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)
