title,year,conference
 Domain adaptation with adversarial training andgraph embeddings,2018, In Iryna GUrevych and Yusuke Miyao (eds
 A theory of learning from different domains,2010, Machine learning
 Blending-target domain adaptation byadversarial meta-adaptation networks,2019, In Proceedings of the IEEE/CVF Conference on ComputerVision and Pattern Recognition
 Adaptationacross extreme variations using unlabeled domain bridges,2019, arXiv preprint arXiv:1906
 Graph adaptive knowledge transfer forunsupervised domain adaptation,2018, In ECCV
 Generative adversarial nets,2014, In NIPS
 Adam: A method for stochastic optimization,2015, In ICLR
 Variational graph auto-encoders,2016, arXiv preprint arXiv:1611
 Imagenet classification with deep con-volutional neural networks,2012, Advances in neural information processing systems
 Elastic machine learning algorithmsin amazon sagemaker,2020, In SIGMOD
 Conditional adversarialdomain adaptation,2018, In NIPS
 Adagraph: Unifyingpredictive and continuous domain adaptation through graphs,2019, In CVPR
 Unsupervised multi-target domain adaptation through knowledge distillation,2021, InProceedings ofthe IEEE/CVF Winter Conference on Applications ofComputer Vision
 A survey on transfer learning,2009, TKDE
 Domain adaptation via transfercomponent analysis,2010, TNN
 Moment matchingfor multi-source domain adaptation,2019, In Proceedings of the IEEE/CVF International Conference onComputer Vision
 Domain2vec: Domain embedding for unsuperviseddomain adaptation,2020, arXiv preprint arXiv:2007
 Domain adaptation on graphs by learning aligned graph bases,2020, TKDE
 Sentry: Selective entropy opti-mization via committee consistency for unsupervised domain adaptation,2021, In Proceedings of theIEEE/CVF International Conference on Computer Vision
 Maximum classifierdiscrepancy for unsupervised domain adaptation,2018, In CVPR
 Generate to adapt:Aligning domains using generative adversarial networks,2018, In CVPR
 Deep CORAL: correlation alignment for deep domain adaptation,2016, InICCV workshop on Transferring and Adapting Source Knowledge in Computer Vision (TASK-CV)
 Line: Large-scaleinformation network embedding,2015, In WWW
 Deep domain confusion:Maximizing for domain invariance,2014, arXiv preprint arXiv:1412
 Adversarial discriminative domainadaptation,2017, In CVPR
 Graph attention networks,2017, arXiv preprint arXiv:1710
 Continuously indexed domain adaptation,2020, In ICML
 A large-scale car dataset for fine-grainedcategorization and verification,2015, In Proceedings of the IEEE conference on computer vision andpattern recognition
 Bridging theory and algorithmfor domain adaptation,2019, arXiv preprint arXiv:1904
 Adversarial multiple source domain adaptation,2018, In NIPS
 On learning invariantrepresentations for domain adaptation,2019, In ICML
 Learning sleepstages from radio signals: A conditional adversarial architecture,2017, In ICML
