title,year,conference
 On thedecision boundaries of deep neural networks: A tropical geometry perspective,2020, arXiv preprintarXiv:2002
 Morphological perceptrons: geometry and trainingalgorithms,2017, In International Symposium on Mathematical Morphology and Its Applications toSignal and Image Processing
 A tropical approach to neural networks with piecewiselinear activations,2018, arXiv preprint arXiv:1805
 Geometric programming with signomials,1973, Journal ofOptimization Theory and Applications
 Methods for order reduction ofzonotopes,5626, In 2017 IEEE 56th Annual Conference on Decision and Control (CDC)
 Gradient-based learning applied todocument recognition,1998, Proceedings of the IEEE
 ThiNet: A Filter Level Pruning Method for Deep NeuralNetwork Compression,2017, In 2017 IEEE International Conference on Computer Vision (ICCV)
 Dynamical systems on weighted lattices: general theory,2017, Mathematics of Control
 Multivariate tropical regression and piecewise-linearsurface fitting,2020, In ICASSP 2020-2020 IEEE International Conference on Acoustics
 Tropical geometry and machinelearning,2021, Proceedings of the IEEE
 On the number of linearregions of deep neural networks,2014, arXiv preprint arXiv:1402
 Multiclass neural network minimization via tropical newtonpolytope approximation,2020, In Proc
 Maxpolynomial division with application toneural network simplification,2020, In ICASSP 2020-2020 IEEE International Conference on Acoustics
 Analysis of the viterbi algorithm using tropical algebraand geometry,2018, In 2018 IEEE 19th International Workshop on Signal Processing Advances inWireless Communications (SPAWC)
 Tropical modeling of weighted transducer algorithms ongraphs,2019, In ICASSP 2019 - 2019 IEEE International Conference on Acoustics
 Sparsity in max-plus algebra and applicationsin multivariate convex regression,2021, In Proc
 Tropical geometry of deep neural networks,2018, InInternational Conference on Machine Learning
