title,year,conference
 f-domain adversarial learning: The-ory and algorithms,2021, In Proceedings of the 38th International Conference on Machine Learning
 Massively scalablesinkhorn distances via the nystrom method,2019, Advances in neural information processing Systems
 Displacementinterpolation using lagrangian mass transport,2011, In Proceedings of the 2011 SIGGRAPH Asia Con-ference
 A simple framework forcontrastive learning of visual representations,2020, In Proceedings of the 37th International Conferenceon Machine Learning
 Bigself-supervised models are strong semi-supervised learners,2020, In Advances in Neural InformationProcessing Systems (NeurIPS)
 Improved baselines with momentumcontrastive learning,2020, arXiv preprint arXiv:2003
 An analysis of single-layer networks in unsuper-vised feature learning,2011, In Proceedings of the fourteenth International Conference on ArtificialIntelligence and Statistics
 Improving generalization with active learning,1994, MachineLearning
 A meta-learning approach to one-stepactive learning,2017, arXiv preprint arXiv:1706
 Sinkhorn distances: Lightspeed computation of optimal transport,2013, Advances inNeural Information Processing Systems
 Fast computation of wasserstein barycenters,2014, In Internationalconference on machine learning
 Imagenet: A large-scale hi-erarchical image database,2009, In 2009 IEEE conference on computer vision and pattern recognition
 Active learning and input space analysisfor deep networks,2018, PhD thesis
 Pot: Python optimal transport,2021, Journal of Machine Learning Research
 CBC user guide,2005, In Emerging Theory
 Generalized benders decomposition,1972, Journal of Optimization Theory andApplications
 Learning multiple layers of features from tiny images,2009,2009
 Adaptive active learning for image classification,2013, In Proceedings of theIEEE Conference on Computer Vision and Pattern Recognition
 Differential properties ofsinkhorn approximation for learning with wasserstein distance,2018, Advances in Neural InformationProcessing Systems
 Readingdigits in natural images with unsupervised feature learning,2011,2011
 Active learning using pre-clustering,2004, In Proceedings of thetwenty-first International Conference on Machine Learning
 Computational optimal transport: With applications to datascience,2019, Foundations and Trends? in Machine Learning
 The benders de-composition algorithm: A literature review,2017, European Journal of Operational Research
 Learningunder distributed weak supervision,2016, arXiv preprint arXiv:1606
 Margin-based active learning for structured output spaces,2006, In EuropeanConference on Machine Learning
 Scenario reduc-tion revisited: Fundamental limits and guarantees,2018, Mathematical Programming
 Adapting visual category models to newdomains,2010, In European Conference on Computer Vision
 Active learning for convolutional neural networks: A core-setapproach,2017, arXiv preprint arXiv:1708
 Active learning literature survey,2009, Technical report
 Deepactive learning for named entity recognition,2017, arXiv preprint arXiv:1707
 Deep active learning: Unified andprincipled method for query and training,2020, In International Conference on Artificial Intelligenceand Statistics 
 Rethinking deep activelearning: Using unlabeled data at model training,2019, arXiv preprint arXiv:1911
 Variational adversarial active learning,2019, InProceedings of the IEEE International Conference on Computer Vision
 A new active labeling method for deep learning,2014, In 2014 InternationalJoint Conference on Neural Networks (IJCNN)
 Active one-shot learning,2017, arXiv preprint arXiv:1702
 Active learning via transductive experimental design,2006, InProceedings of the 23rd International Conference on Machine Learning
