title,year,conference
 Styleflow: Attribute-conditionedexploration of stylegan-generated images using conditional continuous normalizing flows,730, ACMTrans
 Seeing what a gan cannot generate,2019, In Proceedings of the IEEE/CVF InternationalConference on Computer Vision
 Devise: A deep visual-semantic embedding model,2013,2013
 Image style transfer using convolutionalneural networks,2016, In Proceedings of the IEEE conference on computer vision and pattern recog-nition
 Ganspace: Discoveringinterpretable gan controls,2020, arXiv preprint arXiv:2004
 Curran Associates Inc,9781, ISBN 9781510860964
 Arbitrary style transfer in real-time with adaptive instance normal-ization,2017, In ICCV
 Contrastive adaptation net-work for unsupervised domain adaptation,2019, 2019 IEEE/CVF Conference on Computer Visionand Pattern Recognition (CVPR)
 A style-based generator architecture for generativeadversarial networks,2018, arXiv preprint arXiv:1812
 A style-based generator architecture for generativeadversarial networks,2019, In Proceedings of the IEEE/CVF Conference on Computer Vision andPattern Recognition
 Traininggenerative adversarial networks with limited data,2020, In Proc
 Analyz-ing and improving the image quality of StyleGAN,2020, In Proc
 Alias-free generative adversarial networks,2021, CoRR
 Improvedprecision and recall metric for assessing generative models,2019, CoRR
 Adversarial feature hallucination networks for few-shot learning,2020, 2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)
 Encoding in style: a stylegan encoder for image-to-image translation,2020, arXiv preprintarXiv:2008
 Interfacegan: Interpreting the disentan-gled face representation learned by gans,2020, IEEE Transactions on Pattern Analysis and MachineIntelligence
 Agilegan: Stylizing portraits by inversion-consistent transfer learning,2021, ACM Transactionson Graphics (Proc
 Michigan: Multi-input-conditioned hair image generation for portrait editing,2020, ACMTransactions on Graphics (TOG)
 Stylerig: Rigging Stylegan for 3d control overportrait images,2020, In Proceedings of the IEEE/CVF Conference on Computer Vision and PatternRecognition
 Pie: Portrait image embedding for semanticcontrol,2020, volume 39
 Designing an encoderfor stylegan image manipulation,2021, arXiv preprint arXiv:2102
 Stylespace analysis: Disentangled controls forstylegan image generation,2020, arXiv preprint arXiv:2011
 Metagan:An adversarial approach to few-shot learning,2018, In S
 In-domain gan inversion for real imageediting,2020, In European Conference on Computer Vision
