title,year,conference
 Numerical differentiation of experimental data: local versus globalmethods,2007, Computer Physics Communications
 Demystifying black-box models with symbolicmetamodels,2019, Advances in Neural Information Processing Systems
 Regression and classification using gaussianprocess priors,1998, Bayesian statistics
 Formulae for numerical differentiation,1941, The Mathematical Gazette
 Long-termcyclic persistence in an experimental predator-prey system,2020, Nature
 Fixed point theory and nonlinear problems,1983, Proc
 Parametric estimation of ordinary dif-ferential equations with orthogonality conditions,2014, Journal of the American Statistical Association
 Discovering governing equations from databy sparse identification of nonlinear dynamical systems,2016, Proceedings of the national academy ofsciences
 Neural ordinary differentialequations,2018, arXiv preprint arXiv:1806
 Automated adaptive inference of phenomenological dynamicalmodels,2015, Nature communications
 Efficient inference of parsimonious phenomenological modelsof cellular dynamics using s-systems and alternating regression,2015, PloS one
 Methods of numerical integration,2007, Courier Corporation
 Principles and applications of chaotic systems,1995, Communica-tions of the ACM
 On sequential monte carlo samplingmethods for bayesian filtering,2000, Statistics and computing
 Genetic algorithms: principles of natural selection applied to computation,1993, Science
 Prediction of treatment responsefor combined chemo-and radiation therapy for non-small cell lung cancer patients using a bio-mathematical model,2017, Scientific reports
 Practical finite element analysis,2008, Finite to infinite
 √n-consistent parameter estimation for systems of ordinarydifferential equations: bypassing numerical integration via smoothing,2012, Bernoulli
 Nonlinear dynamical systems and control,2011, Princetonuniversity press
 Temporal diseasetrajectories condensed from population-wide registry data covering 6,2014,2 million patients
 System identification,1998, In Signal analysis and prediction
 Deterministic nonperiodic flow,1963, Journal of atmospheric sciences
 Using genetic programming with prior formula knowledgeto solve symbolic regression problem,2016, Computational intelligence and neuroscience
 The general problem of the stability of motion,1992, Internationaljournal of control
 Inferring biological net-works by sparse identification of nonlinear dynamics,2016, IEEE Transactions on Molecular
 Spline regression models,2001, Sage
 Prostate tumorvolume measurement with combined t2-weighted imaging and diffusion-weighted mr: correlationwith pathologic tumor volume,2009, Radiology
 Sympy: symboliccomputing in python,2017, PeerJ Computer Science
 Deep symbolic regression: Recovering mathematical expressions from datavia risk-seeking policy gradients,2019, arXiv preprint arXiv:1912
 Learning dynamic andpersonalized comorbidity networks from event data using deep diffusion processes,2020, In InternationalConference on Artificial Intelligence and Statistics
 Parameter estimation for differentialequations: a generalized smoothing approach,2007, Journal of the Royal Statistical Society: Series B(Statistical Methodology)
 A flexible growth function for empirical use,1959, Journal of experimental Botany
 Latent ordinary differential equationsfor irregularly-sampled time series,2019, Advances in Neural Information Processing Systems
 Data-driven discovery ofpartial differential equations,2017, Science Advances
 Distilling free-form natural laws from experimental data,2009, science
 Self-oscillations in glycolysis 1,1968, a simple kinetic model
 Local asymptotics for regression splines and confidenceregions,1998, The annals of statistics
 Optimal global rates of convergence for nonparametric regression,1982, The annals ofstatistics
 The use of polynomial splines and their tensor products in multivariate functionestimation,1994, The Annals of Statistics
 Edge-preserving and scale-dependent properties of total variationregularization,2003, Inverse problems
 Ai feynman: A physics-inspired method for symbolicregression,2020, Science Advances
 An introduction to the Kalman filter,1995, Chapel Hill
 Estimation of tumour regres-sion and growth rates during treatment in patients with advanced prostate cancer: a retrospectiveanalysis,2017, The Lancet Oncology
 Benchmarking state-of-the-art symbolic regression algorithms,2021, Geneticprogramming and evolvable machines
 On derivative estimation in spline regression,2000, StatisticaSinica
	□Proof of Proposition 1,2022, Observe thatX j ⑴=fj (Mt)) — fj (Mt)) - X j ⑴=0(11)14Published as a conference paper at ICLR 2022Now using Fundamental lemma of calculus of variations
