title,year,conference
 Natural language acquisitionand grounding for embodied robotic systems,2017, In Proceedings of the AAAI Conference on ArtificialIntelligence
 Analogs of linguistic structure in deep representations,2017, arXiv preprintarXiv:1707
 Translating neuralese,2017, arXiv preprint arXiv:1704
 Input and interaction in language acquisition,1994, Cambridge University Press
 Self-regulation and task engagement as predictors ofemergent language and literacy skills,2016, Early Education and Development
 Understanding linguistic evolution by visualizing the emergenceof topographic mappings,2006, Artificial life
 Language models arefew-shot learners,2020, arXiv preprint arXiv:2005
 The role of interaction formats in language acquisition,1985, In Language and socialsituations
 Computer simulation: A new scientific approach to thestudy of language evolution,2002, In Simulating the evolution of language
 Emergence of compositionallanguage with deep generational transmission,2019, arXiv preprint arXiv:1904
 The paradox of the compositionality of naturallanguage: a neural machine translation case study,2021, arXiv preprint arXiv:2108
 Imagenet: A large-scalehierarchical image database,2009, In 2009 IEEE conference on computer vision and pattern recognition
 Bert: Pre-training of deepbidirectional transformers for language understanding,2018, arXiv preprint arXiv:1810
 Speaker-follower modelsfor vision-and-language navigation,2018, arXiv preprint arXiv:1806
 The emergenceof compositional languages for numeric concepts through iterated learning in neural agents,2019, arXivpreprint arXiv:1910
 The symbol grounding problem,1990, Physica D: Nonlinear Phenomena
 Emergence of language with multi-agent games: Learning tocommunicate with sequences of symbols,2017, arXiv preprint arXiv:1705
 Deep residual learning for imagerecognition,2016, In Proceedings of the IEEE conference on computer vision and pattern recognition
 Categorical reparameterization with gumbel-softmax,2016, arXivpreprint arXiv:1611
 Emergent language generalization and acquisition speed arenot tied to compositionality,2020, arXiv preprint arXiv:2004
 Spontaneous evolution of linguistic structure-an iterated learning model of the emer-gence of regularity and irregularity,2001, IEEE Transactions on Evolutionary Computation
 Natural language from artificial life,2002, Artificial life
 Compression and communicationin the cultural evolution of linguistic structure,2015, Cognition
 Buildingmachines that learn and think like people,2017, Behavioral and brain sciences
 Emergent multi-agent communication in the deep learningera,2020, arXiv preprint arXiv:2006
 Emergence of lin-guistic communication from referential games with symbolic and pixel input,2018, arXiv preprintarXiv:1804
 Multi-agent communication meetsnatural language: Synergies between functional and structural language learning,2020, arXiv preprintarXiv:2005
 Emergent translation in multi-agentcommunication,2018, In International Conference on Learning Representations
 Ease-of-teaching and language structure from emergent communi-cation,2019, arXiv preprint arXiv:1906
 Oscar: Object-semantics aligned pre-training for vision-languagetasks,2020, In European Conference on Computer Vision
 Emergent communicationpretraining for few-shot machine translation,2020, In Proceedings of the 28th International Conferenceon Computational Linguistics
 Rouge: A package for automatic evaluation of summaries,2004, In Text summarizationbranches out
 Microsoft coco: Common objects in context,2014, In Europeanconference on computer vision
 On the interactionbetween supervision and self-play in emergent communication,2020, arXiv preprint arXiv:2002
 Pretrained transformers as universalcomputation engines,2021, arXiv preprint arXiv:2103
 Emergence of grounded compositional language in multi-agentpopulations,2018, In Thirty-second AAAI conference on artificial intelligence
 Emergent communication of generalizations,2021, arXiv preprintarXiv:2106
 Learning music helps you read: Using transfer to studylinguistic structure in language models,2020, In Proceedings of the 2020 Conference on EmpiricalMethods in Natural Language Processing (EMNLP)
 Bleu: a method for automaticevaluation of machine translation,2002, In Proceedings of the 40th annual meeting of the Associationfor Computational Linguistics
 Languagemodels are unsupervised multitask learners,2019, OpenAI blog
 Faster r-cnn: Towards real-time objectdetection with region proposal networks,2015, Advances in neural information processing systems
 Complex systems in language evolution: thecultural emergence of compositional structure,2003, Advances in complex systems
 Toward the emergence of nontrivial compositionality,2020, Philosophy ofScience
 Attention is all you need,2017, In Advances in neural informationprocessing systems
 Cider: Consensus-based imagedescription evaluation,2015, In Proceedings of the IEEE conference on computer vision and patternrecognition
 The physical symbol grounding problem,2002, Cognitive Systems Research
 Progress in the simulationof emergent communication and language,2003, Adaptive Behavior
 Towards unique and informa-tive captioning of images,2020, In Computer Vision-ECCV 2020: 16th European Conference
 Philosophical investigations,1958, New York: Macmill an Publish
 The contributions of parenting and postnatal depression on emergentlanguage of children in low-income families,2010, Journal of Child and Family Studies
 Be yourown teacher: Improve the performance of convolutional neural networks via self distillation,2019, InProceedings of the IEEE/CVF International Conference on Computer Vision
