title,year,conference
 Epigenetic drift towards histone modifications regulates cav1 geneexpression in colon cancer,2016, Gene
 Gene profiling involved in immature cd4+ t lymphocyte responsible for systemic lupuserythematosus,2006, Molecular Immunology
 Targeting gsk3 and associ-ated signaling pathways involved in cancer,2073, Cells
 Ras as supporting actor in breast cancer,2234, Frontiers in oncology
 Hdac inhibitors restore braf-inhibitor sensitivityby altering pi3k and survival signalling in a subset of melanoma,2018, International Journal of Cancer
 Pharmacologic inhibitionof mtor improves lapatinib sensitivity in her2-overexpressing breast cancer cells with primarytrastuzumab resistance,2012, Anti-cancer agents in medicinal chemistry
 Extremely randomized trees,2006, Machine Learning
 Involvement of IL-32 in activation-induced cell death in T cells,2006, InternationalImmunology
 Irinotecan: a potentialnew chemotherapeutic agent for atypical or malignant meningiomas,0022, Journal of neurosurgery
 Recognition of the lcktyrosine kinase as a tumor antigen by cytotoxic t lymphocytes of cancer patients with distantmetastases,2001, European Journal of Immunology
 Laplacian score for feature selection,2005, In Proceedings of the 18thConference on Neural Information Processing Systems (NIPS 2005)
 Combiningbet and hdac inhibitors synergistically induces apoptosis of melanoma and suppresses akt andyap signaling,1949, Oncotarget
 HDAC inhibitors and decitabine are highly synergistic andassociated with unique gene-expression and epigenetic profiles in models of DLBCL,0006, Blood
 Adam: A method for stochastic optimization,2015, In Proceedings of the 3rdInternational Conference on Learning Representations (ICLR 2015)
 A novel mechanism of irinotecan targeting mdm2 and bcl-xl,0006, Biochemicaland Biophysical Research Communications
 Panobinostat sensitizes kras-mutantnon-small-cell lung cancer to gefitinib by targeting taz,2017, International Journal of Cancer
 Acetylation and deacetylation of DNArepair proteins in cancers,2020, Frontiers in Oncology
 53bp1 functions as a tumor suppressor in breast cancer via the inhibition ofnf-κb through mir-146a,0143, Carcinogenesis
 Bayesian neural networks for selection of drug sensitivegenes,2018, Journal of the American Statistical Association
 Differentiable unsupervisedfeature selection based on a gated laplacian,2020, arXiv preprint arXiv:2007
 The concrete distribution: A continuous relaxation ofdiscrete random variables,2017, In Proceedings of the 5th International Conference on Learning Rep-resentations (ICLR 2017)
 Lapatinib: A dual inhibitor of human epidermal growth factorreceptor tyrosine kinases,2008, Clinical Therapeutics
 Applied Logistic Regression Analysis,2001, SAGE Publications
 Proteomic analysis of cell lines to identify the irinotecan resistanceproteins,2010, Journal of Biosciences
 Irinotecan resistance is accompanied by upregulation ofegfr and src signaling in human cancer models,2013, Current Pharmaceutical Design
 Caveolin-1: a multifaceted driver of breast cancer progression and its applicationin clinical treatment,1178, OncoTargets and therapy
 Ccr7is required for the in vivo function of cd4+ cd25+ regulatory t cells,0022, Journal of ExperimentalMedicine
 Understanding the natural progression in %fev1decline in patients with cystic fibrosis: a longitudinal study,2012, Thorax
 Regression shrinkage and selection via the lasso,1996, Journal of the Royal StatisticalSociety: Series B (Methodological)
 Regulation of histone deacetylase 4 by binding of 14-3-3 proteins,2000, Molecular andcellular biology
 Relaxed multivariate bernoulli distribution and its applications to deepgenerative models,2020, In Proceedings of the 26th Conference on Uncertainty in Artificial Intelligence(UAI 20)
 Functional profile of s100a4-deficient t cells,2015, Immunity
 Mkp-1 is necessary for t cell activation and function,2009, Journal ofBiological Chemistry
