title,year,conference
 Modeling temporal depen-dencies in high-dimensional sequences: Application to polyphonic music generation and tran-scription,2012, In ICML
 Improving algorithmic music composition withmachine learning,2006, In 9th International Conference on Music Perception and Cognition
 Creating melodies with evolving recurrent neural net-works,2001, In International Joint Conference on Neural Networks
 Automatic real-time music generation for games,2015, InAIIDE Workshop
 A neural algorithm of artistic style,2015, InarXiv:1508
 Long short-term memory,1997, Neural computation
 DeeP learning for music,2016, arXiv preprint arXiv:1606
 SkiP-thought vectors,2015, In NIPS
 Neural network music comPosition by Prediction: ExPloring the benefits ofPsychoacoustic constraints and multi-scale Processing,1996, Connection Science
 Style and idea,1951, Technical rePort
 Neuroaesthetics infashion: Modeling the PercePtion of beauty,2015, In CVPR
 SParse-ness meets deePness: 3d human Pose estimation from monocular video,2016, In CVPR
