title,year,conference
 Semi-formal evaluation of conversationalcharacters,2009, In Languages: From Formal to Natural
 Layer normalization,2016, arXiv preprint arXiv:1607
 Learning long-term dependencies with gradient descent isdifficult,1994, IEEE transactions on neural networks
 Generating sentencesfrom a continuous space,2016, COLING
 Weighted kappa: Nominal scale agreement provision for scaled disagreement or partialcredit,1968, Psychological bulletin
 Recurrent batch normalization,2016, arXiv preprintarXiv:1603
 Censoring representations with an adversary,2016, ICLR
 Hierarchical recurrent neural networks for long-term dependencies,1995, InNIPS
 Reval: A simple and effective machine translationevaluation metric based on recurrent neural networks,2015, In Proceedings of the 2015 Conference onEmpirical Methods in Natural Language Processing (EMNLP)
 Untersuchungen Zu dynamischen neuronalen netzen,1991, Diploma
 Long short-term memory,1997, Neural computation
 Batch normalization: Accelerating deep network training by reducinginternal covariate shift,2015, arXiv preprint arXiv:1502
 Adam: A method for stochastic optimization,2014, arXiv preprint arXiv:1412
 A diversity-promoting objective function forneural conversation models,2015, arXiv preprint arXiv:1510
 The ubuntu dialogue corpus: A large dataset for researchin unstructured multi-turn dialogue systems,2015, arXiv preprint arXiv:1506
 Results of the wmt14 metrics shared task,2014, In Proceedings of the NinthWorkshop on Statistical Machine Translation
 Memo: towards automatic usability evaluation of spoken dialogue services by usererror simulations,2006, In INTERSPEECH
 Bleu: a method for automatic evaluation of machinetranslation,2002, In Proceedings of the 40th annual meeting on association for computational linguistics
 Principal components analysis,1901, The London
 Building end-to-end dialoguesystems using generative hierarchical neural network models,2016, In AAAI
 A hierarchicallatent variable encoder-decoder model for generating dialogues,2016, arXiv preprint arXiv:1605
 Neural responding machine for short-text conversation,2015, arXiv preprintarXiv:1503
 A hierarchical recurrentencoder-decoder for generative context-aware query suggestion,2015, In Proceedings of the 24th ACMInternational on Conference on Information and Knowledge Management
 Results of the wmt15 metrics shared task,2015, InProceedings of the Tenth Workshop on Statistical Machine Translation
 Theano: A python framework for fast computation ofmathematical expressions,2016, arXiv preprint arXiv:1605
 Computing machinery and intelligence,1950, Mind
 A neural conversational model,2015, arXiv preprint arXiv:1506
 Paradise: A framework for evaluating spokendialogue agents,1997, In Proceedings of the eighth conference on European chapter of the Associationfor Computational Linguistics
